Compound_CID,Molecular_Weight,Molecular_Formula,SMILES,IUPAC_Name,Linked_PubChem_Literature_Count,Linked_PubChem_Patent_Count,Modified_Formula,Matched_Y_CID,Filtered_SMILES_X,Y_Trimmed_Candidates,Matched_Y_Trimmed,Match_Found
172994190,270.24,C15H10O5,C1=CC(=C(C=C1C2=COC3=C(C2=O)C=C(C=C3)O)O)O,"3-(3,4-dihydroxyphenyl)-6-hydroxychromen-4-one",0,0,C16H12O5,313108.0,CCCCCCCCOCCCOCCCCOOO,CCCCCCCCCCCCCCOOCOO;CCCCCCCCOCCCOCCCCOO;CCCCCCCCCCCCCCOCOOO;CCCCCCCCCOCCCCCCOOO;CCCCCCCCCOCCOCCCCOO;CCCCCCCCOCCCCCCCOOO,CCCCCCCCOCCCOCCCCOO,True
172991271,452.4,C21H24O11,C1=CC(=C(C=C1CCC(=O)C2=C(C=C(C=C2O)OC3[C@H]([C@@H]([C@H]([C@@H](O3)CO)O)O)O)O)O)O,"3-(3,4-dihydroxyphenyl)-1-[2,6-dihydroxy-4-[(3S,4R,5R,6S)-3,4,5-trihydroxy-6-(hydroxymethyl)oxan-2-yl]oxyphenyl]propan-1-one",0,0,C22H26O11,168008.0,CCCCCCCCCOCCCCCCOOCCCCCOCOOOOOOO,CCCCCCCCCCCCCCCOOCCCCCOCOOOOOOO;CCCCCCCCCOCCCCCCOOCCCCCOCOOOOOO;CCCCCCCCCOCCCCCCOCCCCCOCOOOOOOO,CCCCCCCCCCCCCCCOOCCCCCOCOOOOOOO,True
172883357,302.28,C13H18O8,C1=CC(=C(C=C1COC2C(C(C(C(O2)CO)O)O)O)O)O,"2-[(3,4-dihydroxyphenyl)methoxy]-6-(hydroxymethyl)oxane-3,4,5-triol",0,0,C14H20O8,46855263.0,CCCCCCCOCCCCCOCOOOOOO,CCCCCCCCOCCCCCOOOOOO;CCCCCCCOCCCCCOCOOOOO;CCCCCCCOCCCCCCOOOOOO,CCCCCCCOCCCCCOCOOOOO,True
172869112,362.4,C20H26O6,C1=CC(=C(C=C1C[C@@H](CCCO)[C@@H](CC2=CC(=C(C=C2)O)O)CO)O)O,"4-[(2R)-2-[(2R)-1-(3,4-dihydroxyphenyl)-3-hydroxypropan-2-yl]-5-hydroxypentyl]benzene-1,2-diol",0,0,C21H28O6,21588488.0,CCCCCCCCCCCOCCCCCCCCOOCOOO,CCCCCCCCCCCCCCCCCCCOOCOOO,CCCCCCCCCCCCCCCCCCCOOCOOO,True
172869111,362.4,C20H26O6,C1=CC(=C(C=C1C[C@H](CCCO)[C@H](CC2=CC(=C(C=C2)O)O)CO)O)O,"4-[(2S)-2-[(2S)-1-(3,4-dihydroxyphenyl)-3-hydroxypropan-2-yl]-5-hydroxypentyl]benzene-1,2-diol",0,0,C21H28O6,21588488.0,CCCCCCCCCCCOCCCCCCCCOOCOOO,CCCCCCCCCCCCCCCCCCCOOCOOO,CCCCCCCCCCCCCCCCCCCOOCOOO,True
172820055,272.25,C15H12O5,C1=CC(=CC=C1/C(=C\C2=CC(=C(C=C2)O)O)/C(=O)O)O,"(E)-3-(3,4-dihydroxyphenyl)-2-(4-hydroxyphenyl)prop-2-enoic acid",0,4,C16H14O5,25862.0,CCCCCCCCCCCCCCOOCOOO,CCCCCCCCCCCCCCCOOOO;CCCCCCCCOCCCOCCCCOO;CCCCCCCCCCCCCCOCOOO;CCCCCCCCCOCCCCCCOOO;CCCCCCCOCCCCCCCCOOO;CCCCCCCCCOCCOCCCCOO;CCCCCCCCCCCOCCCCOOO;CCCCCCCCCOOCCCCCCOO;CCCCCCCCOCCCCCCCOOO,CCCCCCCCCCCCCCOCOOO,True
172761198,312.4,C19H20O4,CC(C)C=CC1=C(C=C(C=C1O)O)/C=C/C2=CC(=C(C=C2)O)O,"5-[(E)-2-(3,4-dihydroxyphenyl)ethenyl]-4-(3-methylbut-1-enyl)benzene-1,3-diol",0,1,C20H22O4,8120255.0,CCCCCCCCCCCOOCCCCCCCCOO,CCCCCCCCCCCCCCCCCCOOCO;CCCCCCCCCOCCOCCCCCCCCO;CCCCCCCCCCCCCCCCCCCOOO;CCCCCCCCCOOCCCCCCCCCCO;CCCCCCCCCCCOCCCCCCCCOO;CCCCCCCCCOCCCCCCCCCCOO,CCCCCCCCCCCOCCCCCCCCOO,True
172749185,288.25,C15H12O6,C1=CC(=C(C=C1C(=O)CC(=O)C2=CC(=C(C=C2)O)O)O)O,"1,3-bis(3,4-dihydroxyphenyl)propane-1,3-dione",0,1,C16H14O6,3593.0,CCCCCCCOCCOCCCCCCOOOO,CCCCCCCCOCCCCCCCOOOO;CCCCCCCCCOOCCCCCCOOO;CCCCCCCCCOCCCCCCOOOO;CCCCCCCOCOCCCCCCOCOO;CCCCCCCCCOCCOCCCCOOO;CCCCCCCOCCCCCCCCOOOO;CCCCCCCCCCCOCCCCOOOO;CCCCCCCCCCCCCCOOCOOO;CCCCCCCCCCCCCCCOOOOO,CCCCCCCCCOCCCCCCOOOO,True
172682405,336.29,C16H16O8,C1=CC=C(C=C1)C(C(=O)O)(O)O.C1=CC(=C(C=C1CC(=O)O)O)O,"2,2-dihydroxy-2-phenylacetic acid;2-(3,4-dihydroxyphenyl)acetic acid",0,1,C17H18O8,58771501.0,CCCCCCCCOOOOCCCCCCCCOOOO,CCCCCCCCOOOCCCCCCCCOOOO;CCCCCCCCCOOCCCCCCOOCOOO;CCCCCCCCCOOCCCCCCOCOOOO;CCCCCCCCCOCCCCCCOOCOOOO,CCCCCCCCOOOCCCCCCCCOOOO,True
153725923,268.26,C16H12O4,C1=CC=C(C=C1)C=CC(=O)C(=O)C2=CC(=C(C=C2)O)O,"1-(3,4-dihydroxyphenyl)-4-phenylbut-3-ene-1,2-dione",0,1,C17H14O4,2697325.0,CCCCCCCCCOCOCCCCCCOO,CCCCCCCCCOCCCCCCCOO;CCCCCCCCCCCCOCCCCOO,CCCCCCCCCOCCCCCCCOO,True
151654525,224.21,C11H12O5,CC(C(=O)CC1=CC(=C(C=C1)O)O)C(=O)O,"4-(3,4-dihydroxyphenyl)-2-methyl-3-oxobutanoic acid",0,3,C12H14O5,21480042.0,CCCOCCCCCCCOOCOO,CCCCCCCCCCOCOOO;CCCCCCCCCCOOCOO;CCCCCCCCCOCCOOO;CCCCCCCCCCCOOOO,CCCCCCCCCCOOCOO,True
151600874,222.24,C12H14O4,CC(=CCCC1=CC(=C(C=C1)O)O)C(=O)O,"5-(3,4-dihydroxyphenyl)-2-methylpent-2-enoic acid",0,1,C13H16O4,15511087.0,CCCCCCCCCCCOOCOO,CCCCCCCCCOCCCOO;CCCCCCCCCCCOOCO;CCCCCCCCCCCCOOO;CCCCCCCCCOOCCCO,CCCCCCCCCCCOOCO,True
154414836,178.18,C10H10O3,C=CC(=O)CC1=CC(=C(C=C1)O)O,"1-(3,4-dihydroxyphenyl)but-3-en-2-one",0,2,C11H12O3,14145089.0,CCCOCCCCCCCOO,CCCCCCCOCCCO;CCCCCCCCCCOO;CCCCCCCCOCCO,CCCCCCCCCCOO,True
