Compound_CID,Molecular_Weight,Molecular_Formula,SMILES,IUPAC_Name,Linked_PubChem_Literature_Count,Linked_PubChem_Patent_Count,Modified_Formula,Matched_Y_CID,Filtered_SMILES_X,Y_Trimmed_Candidates,Matched_Y_Trimmed,Match_Found
152345535,244.24,C14H12O4,C1=CC=C(C=C1)CC(=O)OC2=CC(=C(C=C2)O)O,"(3,4-dihydroxyphenyl) 2-phenylacetate",0,1,C15H14O4,5320954.0,CCCCCCCCOOCCCCCCOO,CCCCCCCCCCCCCCOOO;CCCCCCCCCCCCCOCOO;CCCCCCCCOCCCCCCOO;CCCCCCCOCOCCCCCCO;CCCCCCCCCCCCCOOCO,CCCCCCCCOCCCCCCOO,True
151851567,286.28,C16H14O5,C1=CC=C(C=C1)CC(C(=O)C2=CC(=C(C=C2)O)O)C(=O)O,"2-benzyl-3-(3,4-dihydroxyphenyl)-3-oxopropanoic acid",0,3,C17H16O5,2780605.0,CCCCCCCCCOCCCCCCOOCOO,CCCCCCCCCOCCCCCCOCOO;CCCCCCCCCOCCCCCCOOCO;CCCCCCCOCCCCCCCCOCOO;CCCCCCCOCCCCCCCCCOOO;CCCCCCCCCCCOCCCCOOCO;CCCCCCCCCCCCCCCOOOCO;CCCCCCCCCCCCCCOOCCOO,CCCCCCCCCOCCCCCCOCOO,True
149761068,288.25,C15H12O6,C1=CC=C2C(=C1)C(=O)C(C(O2)C3=CC(=C(C=C3)O)O)(O)O,"2-(3,4-dihydroxyphenyl)-3,3-dihydroxy-2H-chromen-4-one",0,1,C16H14O6,3593.0,CCCCCCCOCCOCCCCCCOOOO,CCCCCCCCOCCCCCCCOOOO;CCCCCCCCCOOCCCCCCOOO;CCCCCCCCCOCCCCCCOOOO;CCCCCCCOCOCCCCCCOCOO;CCCCCCCCCOCCOCCCCOOO;CCCCCCCOCCCCCCCCOOOO;CCCCCCCCCCCOCCCCOOOO;CCCCCCCCCCCCCCOOCOOO;CCCCCCCCCCCCCCCOOOOO,CCCCCCCCCOCCCCCCOOOO,True
172642023,448.4,C21H20O11,C1=CC(=C(C=C1C2=CC(=O)C3=C(C=C(C=C3O2)OC4C([C@@H]([C@@H](C(O4)CO)O)O)O)O)O)O,"2-(3,4-dihydroxyphenyl)-5-hydroxy-7-[(4R,5S)-3,4,5-trihydroxy-6-(hydroxymethyl)oxan-2-yl]oxychromen-4-one",0,0,C22H22O11,5378562.0,CCCCCCCCCOCCCCCCOOCCCCCOCOOOOOOO,CCCCCCCCCOCCCCCCOOCCCCCOCOOOOOO;CCCCCCCCCOCCOCCCCOOCCCCCOCOOOOO;CCCCCCCCCOCCCCCCOOOCCCCCOCOOOOO;CCCCCCCCOCCCOCCCCOCCCCCOCOOOOOO;CCCCCCCCCOOCCOOCCCCCCCCCOOCOOOO;CCCCCCCCOCCCCCCCOOOCCCCCOCOOOOO;CCCCCCCCCOCCOCCCCOCCCCCOCOOOOOO,CCCCCCCCCOCCCCCCOOCCCCCOCOOOOOO,True
172641901,316.3,C14H20O8,C1=CC(=C(C=C1CCO[C@H]2C([C@@H]([C@@H](C(O2)CO)O)O)O)O)O,"(2R,4R,5S)-2-[2-(3,4-dihydroxyphenyl)ethoxy]-6-(hydroxymethyl)oxane-3,4,5-triol",0,0,C15H22O8,14413440.0,CCCCCCCCOCCCCCOCOOOOOO,CCCCCCCCOCCCCCOCOOOOO,CCCCCCCCOCCCCCOCOOOOO,True
172559716,282.29,C17H14O4,C1=CC=C(C=C1)C=COC(=O)/C=C/C2=CC(=C(C=C2)O)O,"2-phenylethenyl (E)-3-(3,4-dihydroxyphenyl)prop-2-enoate",0,0,C18H16O4,10469829.0,CCCCCCCCOCOCCCCCCCCOO,CCCCCCCCCOCCCCCCCCOO;CCCCCCCCCCCCCCCCOCOO;CCCCCCCCCCCCCCCCCOOO;CCCCCCCCCCCOCCCCCCOO;CCCCCCCCCOCCOCCCCCCO,CCCCCCCCCOCCCCCCCCOO,True
172540592,304.25,C15H12O7,C1=CC(=C(C=C1C(=O)/C(=C\C2=C(C=C(C=C2O)O)O)/O)O)O,"(E)-1-(3,4-dihydroxyphenyl)-2-hydroxy-3-(2,4,6-trihydroxyphenyl)prop-2-en-1-one",0,0,C16H14O7,188524.0,CCCCCCCOCCCCCCCCOOOOOO,CCCCCCCCCCCOCCCCOOOOO;CCCCCCCCCCCCCCCOOOOOO;CCCCCCCCCOOCCCCOCCOOO;CCCCCCCCCOCCCCCCOOOOO;CCCCCCCCCOCCOCCCCOOOO,CCCCCCCCCCCCCCCOOOOOO,True
172447976,246.21,C13H10O5,C1=CC(=C(C=C1/C=C/C2=C(C(=O)C=CO2)O)O)O,"2-[(E)-2-(3,4-dihydroxyphenyl)ethenyl]-3-hydroxypyran-4-one",0,0,C14H12O5,10730027.0,CCCCCCCCCCCOCCOOOO,CCCCCCCCCCCOCCOOO;CCCCCCCCCCCCCOOOO,CCCCCCCCCCCOCCOOO,True
172430849,464.4,C21H20O12,C1=CC(=C(C=C1C2=C(C(=O)C3=C(C=C(C=C3O2)O)O)O[C@H]4C([C@H](C([C@H](O4)CO)O)O)O)O)O,"2-(3,4-dihydroxyphenyl)-5,7-dihydroxy-3-[(2S,4S,6R)-3,4,5-trihydroxy-6-(hydroxymethyl)oxan-2-yl]oxychromen-4-one",0,0,C22H22O12,12443209.0,CCCCCCCCCOCCCCCCOOOOCCCCCOCOOOOOO,CCCCCCCCCOCCOCCCCOOOCCCCCOCOOOOO;CCCCCCCCCOCCOCCCCOOCCCCCOCOOOOOO;CCCCCCCCCOCCOCCCCOCCCCCOCOOOOOOO;CCCCCCCCCOCCCCCCOOCCCCCOCOOOOOOO;CCCCCCCCCOCCCCCCOOOOCCCCCOCOOOOO,CCCCCCCCCOCCCCCCOOOOCCCCCOCOOOOO,True
172218098,342.3,C18H14O7,C1=CC(=C(C=C1/C=C/C(=O)OC2=C(C=C(C=C2)/C=C/C(=O)O)O)O)O,"(E)-3-[4-[(E)-3-(3,4-dihydroxyphenyl)prop-2-enoyl]oxy-3-hydroxyphenyl]prop-2-enoic acid",0,1,C19H16O7,70694653.0,CCCCCCCCCOOCCCCCCCCCOOOOO,CCCCCCCCCOOCCCCCCCCCOOOO;CCCCCCCCCOCCCCCCOOCCOOCO,CCCCCCCCCOOCCCCCCCCCOOOO,True
172024206,308.3,C19H16O4,C1=CC=C(C=C1)/C=C/C(=O)C=C(/C=C/C2=CC(=C(C=C2)O)O)O,"(1E,6E)-7-(3,4-dihydroxyphenyl)-5-hydroxy-1-phenylhepta-1,4,6-trien-3-one",0,0,C20H18O4,8831059.0,CCCCCCCCCOCCCCCCCCCCOOO,CCCCCCCCCCCCCCCCCCOOCO;CCCCCCCCCCCOCCCCCCCCOO;CCCCCCCCCOCCOCCCCCCCCO;CCCCCCCCCCCCCCCCCCCOOO;CCCCCCCCCOOCCCCCCCCCCO;CCCCCCCCCCCCCCCCCCOCOO;CCCCCCCCCOCCCCCCCCCCOO,CCCCCCCCCCCCCCCCCCCOOO,True
154005479,390.4,C20H22O8,C1=CC(=C(C=C1/C=C/C2=CC(=CC(=C2)O)C3[C@@H]([C@H]([C@@H]([C@H](O3)CO)O)O)O)O)O,"(3R,4R,5S,6R)-2-[3-[(E)-2-(3,4-dihydroxyphenyl)ethenyl]-5-hydroxyphenyl]-6-(hydroxymethyl)oxane-3,4,5-triol",1,0,C21H24O8,44570133.0,CCCCCCCCCCCCCCOCCCCCOCOOOOOO,CCCCCCCCCCCCCCOCCCCCOCOOOOO,CCCCCCCCCCCCCCOCCCCCOCOOOOO,True
171877266,228.2,C10H12O6,C1=CC(=C(C=C1C(C(CC(=O)O)O)O)O)O,"4-(3,4-dihydroxyphenyl)-3,4-dihydroxybutanoic acid",0,0,C11H14O6,83223512.0,CCCCCCCCCCOOOOOO,CCCCCCCCCOOCOOO;CCCCCCCCCCOOOOO,CCCCCCCCCCOOOOO,True
171871891,214.21,C10H14O5,C1=CC(=C(C=C1C(C(CCO)O)O)O)O,"1-(3,4-dihydroxyphenyl)butane-1,2,4-triol",0,0,C11H16O5,171872170.0,CCCCCCCCCCOOOOO,CCCCCCCCCOCOOO;CCCCCCCCCCOOOO;CCCCCCCCCOOOCO,CCCCCCCCCCOOOO,True
171849262,178.18,C10H10O3,C1=CC(=C(C=C1/C=C/CC=O)O)O,"(E)-4-(3,4-dihydroxyphenyl)but-3-enal",0,0,C11H12O3,14145089.0,CCCCCCCCCCOOO,CCCCCCCOCCCO;CCCCCCCCCCOO;CCCCCCCCOCCO,CCCCCCCCCCOO,True
171715456,274.27,C15H14O5,C1=CC(=C(C=C1CCC2=CC(=C(C=C2)O)O)O)C(=O)O,"4-[2-(3,4-dihydroxyphenyl)ethyl]-2-hydroxybenzoic acid",0,0,C16H16O5,11312260.0,CCCCCCCCCCCCCCOOOCOO,CCCCCCCCCCCCCCCOOOO;CCCCCCCCCCCCCCOOCOO;CCCCCCCCCCCCCCOCOOO;CCCCCCCCCOCCCCCCOOO;CCCCCCCOCCCCCCCCOOO,CCCCCCCCCCCCCCOOCOO,True
171713761,307.23,C15H12O7,C1=CC(=C(C=C1[13C@@H]2[13C@H]([13C](=O)C3=C(C=C(C=C3O2)O)O)O)O)O,"(2R,3R)-2-(3,4-dihydroxyphenyl)-3,5,7-trihydroxy-2,3-dihydrochromen-4-one",0,0,C16H14O7,188524.0,CCCCCCCCCOCCCCCCOOOOOO,CCCCCCCCCCCOCCCCOOOOO;CCCCCCCCCCCCCCCOOOOOO;CCCCCCCCCOOCCCCOCCOOO;CCCCCCCCCOCCCCCCOOOOO;CCCCCCCCCOCCOCCCCOOOO,CCCCCCCCCCCCCCCOOOOOO,True
171669703,434.4,C21H22O10,C1=CC(=C(C=C1/C=C/C(=O)C2=C(C=C(C=C2)O[C@@H]3[C@H]([C@@H]([C@H]([C@@H](O3)CO)O)O)O)O)O)O,"(E)-3-(3,4-dihydroxyphenyl)-1-[2-hydroxy-4-[(2R,3S,4R,5R,6S)-3,4,5-trihydroxy-6-(hydroxymethyl)oxan-2-yl]oxyphenyl]prop-2-en-1-one",0,0,C22H24O10,10671147.0,CCCCCCCCCOCCCCCCOCCCCCOCOOOOOOO,CCCCCCCCCCCCCCOCCCCCOCOOOOCOOO;CCCCCCCCCOCCCCCCOCCCCCOCOOOOOO,CCCCCCCCCOCCCCCCOCCCCCOCOOOOOO,True
171666897,626.5,C27H30O17,C1=CC(=C(C=C1C2=C(C(=O)C3=C(C=C(C=C3O2)O)O)O[C@@H]4[C@H]([C@@H]([C@H]([C@@H](O4)CO)O)O)O[C@@H]5[C@H]([C@@H]([C@H]([C@@H](O5)CO)O)O)O)O)O,"3-[(2R,3S,4R,5R,6S)-4,5-dihydroxy-6-(hydroxymethyl)-3-[(2R,3S,4R,5R,6S)-3,4,5-trihydroxy-6-(hydroxymethyl)oxan-2-yl]oxyoxan-2-yl]oxy-2-(3,4-dihydroxyphenyl)-5,7-dihydroxychromen-4-one",0,0,C28H32O17,5487516.0,CCCCCCCCCOCCCCCCOOOOCCCCCOCOOOOCCCCCOCOOOOOO,CCCCCCCCCOCCCCCCOOOOCCCCCOCOOOOCCCCCOCOOOOO;CCCCCCCCCOCCCCCCOOCCCCCOCOOOOCCCCCOCOOOOOOO;CCCCCCCCCOCCCCCCOOCCCCCOCOOOOOOCCCCCOCOOOOO;CCCCCCCCCOCCOCCCCOOCCCCCOCOOOOCCCCCOCOOOOOO,CCCCCCCCCOCCCCCCOOOOCCCCCOCOOOOCCCCCOCOOOOO,True
171429665,480.4,C21H20O13,C1=CC(=C(C=C1C2=C(C(=O)C3=C(O2)C(=C(C=C3O)OC4[C@@H]([C@H]([C@@H](C(O4)CO)O)O)O)O)O)O)O,"2-(3,4-dihydroxyphenyl)-3,5,8-trihydroxy-7-[(3R,4S,5S)-3,4,5-trihydroxy-6-(hydroxymethyl)oxan-2-yl]oxychromen-4-one",0,0,C22H22O13,170453330.0,CCCCCCCCCOCCOCCCCOOCCCCCOCOOOOOOOO,CCCCCCCCCOCCCCCCOOCCCCCOCOOOOOOOO,CCCCCCCCCOCCCCCCOOCCCCCOCOOOOOOOO,True
171395961,478.4,C21H18O13,C1=CC(=C(C=C1C2=C(C(=O)C3=C(C=C(C=C3O2)O[C@H]4[C@H]([C@@H]([C@@H]([C@H](O4)C(=O)O)O)O)O)O)O)O)O,"(2S,3S,4R,5S,6S)-6-[2-(3,4-dihydroxyphenyl)-3,5-dihydroxy-4-oxochromen-7-yl]oxy-3,4,5-trihydroxyoxane-2-carboxylic acid",0,0,C22H20O13,14887606.0,CCCCCCCCCOCCCCCCOOCCCCCOCOOOOOOOOO,CCCCCCCCCOCCOCCCCOOOCCCCCOCOOOOOO;CCCCCCCCCOCCCCCCOOCCCCCOCOOOOOOOO;CCCCCCCCCOCCOCCCCOOOCOCCCCCOOOOOO;CCCCCCCCCOCCCCCCOOOOCCCCCOCOOOOOO,CCCCCCCCCOCCCCCCOOCCCCCOCOOOOOOOO,True
171395703,464.4,C21H20O12,C1=CC(=C(C=C1C2=C(C(=O)C3=C(C=C(C=C3O2)O[C@@H]4[C@H]([C@@H]([C@H]([C@H](O4)CO)O)O)O)O)O)O)O,"2-(3,4-dihydroxyphenyl)-3,5-dihydroxy-7-[(2R,3S,4R,5R,6R)-3,4,5-trihydroxy-6-(hydroxymethyl)oxan-2-yl]oxychromen-4-one",0,0,C22H22O12,12443209.0,CCCCCCCCCOCCCCCCOOCCCCCOCOOOOOOOO,CCCCCCCCCOCCOCCCCOOOCCCCCOCOOOOO;CCCCCCCCCOCCOCCCCOOCCCCCOCOOOOOO;CCCCCCCCCOCCOCCCCOCCCCCOCOOOOOOO;CCCCCCCCCOCCCCCCOOCCCCCOCOOOOOOO;CCCCCCCCCOCCCCCCOOOOCCCCCOCOOOOO,CCCCCCCCCOCCCCCCOOCCCCCOCOOOOOOO,True
171395324,448.4,C21H20O11,C1=CC(=C(C=C1C2=CC(=O)C3=C(O2)C=C(C(=C3O)[C@@H]4[C@@H]([C@H]([C@@H]([C@@H](O4)CO)O)O)O)O)O)O,"2-(3,4-dihydroxyphenyl)-5,7-dihydroxy-6-[(2R,3R,4R,5S,6S)-3,4,5-trihydroxy-6-(hydroxymethyl)oxan-2-yl]chromen-4-one",0,0,C22H22O11,5378562.0,CCCCCCCCCOCCOCCCCOCCCCCOCOOOOOOO,CCCCCCCCCOCCCCCCOOCCCCCOCOOOOOO;CCCCCCCCCOCCOCCCCOOCCCCCOCOOOOO;CCCCCCCCCOCCCCCCOOOCCCCCOCOOOOO;CCCCCCCCOCCCOCCCCOCCCCCOCOOOOOO;CCCCCCCCCOOCCOOCCCCCCCCCOOCOOOO;CCCCCCCCOCCCCCCCOOOCCCCCOCOOOOO;CCCCCCCCCOCCOCCCCOCCCCCOCOOOOOO,CCCCCCCCCOCCOCCCCOCCCCCOCOOOOOO,True
171363975,596.5,C26H28O16,C1=CC(=C(C=C1C2=C(C(=O)C3=C(C=C(C=C3O2)O)O)O[C@H]4[C@@H]([C@H]([C@@H]([C@H](O4)CO)O)O)O[C@H]5[C@@H]([C@H]([C@H](O5)CO)O)O)O)O,"3-[(2S,3R,4S,5S,6R)-3-[(2S,3R,4R,5R)-3,4-dihydroxy-5-(hydroxymethyl)oxolan-2-yl]oxy-4,5-dihydroxy-6-(hydroxymethyl)oxan-2-yl]oxy-2-(3,4-dihydroxyphenyl)-5,7-dihydroxychromen-4-one",0,0,C27H30O16,46240219.0,CCCCCCCCCOCCCCCCOOOOCCCCCOCOOOOCCCCOCOOOOO,CCCCCCCCCOCCCCCCOOOOCCCCCOCOOOOCCCCOCOOOO,CCCCCCCCCOCCCCCCOOOOCCCCCOCOOOOCCCCOCOOOO,True
171363715,434.3,C20H18O11,C1=CC(=C(C=C1C2=C(C(=O)C3=C(C=C(C=C3O2)O)O)O[C@H]4[C@H](C([C@@H](O4)CO)O)O)O)O,"3-[(2S,3S,5S)-3,4-dihydroxy-5-(hydroxymethyl)oxolan-2-yl]oxy-2-(3,4-dihydroxyphenyl)-5,7-dihydroxychromen-4-one",0,0,C21H20O11,3081357.0,CCCCCCCCCOCCCCCCOOOOCCCCOCOOOOO,CCCCCCCCCOOCCOOCCCCCCCCOOCOOOO;CCCCCCCCCCOOOCOCCCCCCCCOOCOOOO;CCCCCCCCCOCCCCCCOOOOCCCCCOOOOO,CCCCCCCCCOCCCCCCOOOOCCCCCOOOOO,True
171363575,452.4,C21H24O11,C1=CC(=C(C=C1CCC(=O)C2=C(C=C(C=C2O)OC3[C@@H]([C@H]([C@@H]([C@H](O3)CO)O)O)O)O)O)O,"3-(3,4-dihydroxyphenyl)-1-[2,6-dihydroxy-4-[(3R,4S,5S,6R)-3,4,5-trihydroxy-6-(hydroxymethyl)oxan-2-yl]oxyphenyl]propan-1-one",0,0,C22H26O11,168008.0,CCCCCCCCCOCCCCCCOOCCCCCOCOOOOOOO,CCCCCCCCCCCCCCCOOCCCCCOCOOOOOOO;CCCCCCCCCOCCCCCCOOCCCCCOCOOOOOO;CCCCCCCCCOCCCCCCOCCCCCOCOOOOOOO,CCCCCCCCCCCCCCCOOCCCCCOCOOOOOOO,True
171352932,326.3,C19H18O5,C1=CC(=C(C=C1/C=C/CCC(=O)/C=C/C2=CC(=C(C=C2)O)O)O)O,"(1E,6E)-1,7-bis(3,4-dihydroxyphenyl)hepta-1,6-dien-3-one",1,0,C20H20O5,2137781.0,CCCCCCCCCCCOCCCCCCCCOOOO,CCCCCCCCCOCCCCCCCCCCOOO;CCCCCCCCCOCCOCCCCCCCCOO;CCCCCCCCCCCCCOOCCCOCCCO;CCCCCCCCCCCOCCCCCCCCOOO,CCCCCCCCCCCOCCCCCCCCOOO,True
171350742,260.24,C14H12O5,CC/C=C/C1=C(C(=O)OC1=O)C2=CC(=C(C=C2)O)O,"3-[(E)-but-1-enyl]-4-(3,4-dihydroxyphenyl)furan-2,5-dione",1,0,C15H14O5,191926.0,CCCCCCCOOCOCCCCCCOO,CCCCCCCOCOCCCCCCOO;CCCCCCCCCCCCCCOOOO;CCCCCCCCCOCCOCCCOO;CCCCCCCOCCCCCCCOOO;CCCCCCCOCCCCCCOCOO;CCCCCCCCOCCCCCCOOO,CCCCCCCOCOCCCCCCOO,True
171137917,288.25,C15H12O6,C1=CC(=C(C=C1C(=O)C=CC2=C(C(=CC(=C2)O)O)O)O)O,"1-(3,4-dihydroxyphenyl)-3-(2,3,5-trihydroxyphenyl)prop-2-en-1-one",0,0,C16H14O6,3593.0,CCCCCCCOCCCCCCCCOOOOO,CCCCCCCCOCCCCCCCOOOO;CCCCCCCCCOOCCCCCCOOO;CCCCCCCCCOCCCCCCOOOO;CCCCCCCOCOCCCCCCOCOO;CCCCCCCCCOCCOCCCCOOO;CCCCCCCOCCCCCCCCOOOO;CCCCCCCCCCCOCCCCOOOO;CCCCCCCCCCCCCCOOCOOO;CCCCCCCCCCCCCCCOOOOO,CCCCCCCOCCCCCCCCOOOO,True
171124527,342.3,C15H18O9,C1=CC(=C(C=C1/C=C/C(=O)OC2C(C(C(OC2O)CO)O)O)O)O,"[2,4,5-trihydroxy-6-(hydroxymethyl)oxan-3-yl] (E)-3-(3,4-dihydroxyphenyl)prop-2-enoate",0,0,C16H20O9,11566585.0,CCCCCCCCCOOCCCCOCOCOOOOO,CCCCCCCCCOCCCCCOCOOOOOO;CCCCCCCCCOOCCCCCOCOOOOO;CCCCCCCCCOCCCOOCCCOOOOO;CCCCCCCCCOOCCCCCCOOOOOO,CCCCCCCCCOOCCCCCOCOOOOO,True
171123938,342.3,C15H18O9,C1=CC(=C(C=C1/C=C/C(=O)O[C@@H]2[C@@H]([C@@H]([C@H](O[C@H]2O)CO)O)O)O)O,"[(2R,3R,4R,5S,6R)-2,4,5-trihydroxy-6-(hydroxymethyl)oxan-3-yl] (E)-3-(3,4-dihydroxyphenyl)prop-2-enoate",0,0,C16H20O9,11566585.0,CCCCCCCCCOOCCCCOCOCOOOOO,CCCCCCCCCOCCCCCOCOOOOOO;CCCCCCCCCOOCCCCCOCOOOOO;CCCCCCCCCOCCCOOCCCOOOOO;CCCCCCCCCOOCCCCCCOOOOOO,CCCCCCCCCOOCCCCCOCOOOOO,True
