Compound_CID,Molecular_Weight,Molecular_Formula,SMILES,IUPAC_Name,Linked_PubChem_Literature_Count,Linked_PubChem_Patent_Count,Modified_Formula,Matched_Y_CID,Filtered_SMILES_X,Y_Trimmed_Candidates,Matched_Y_Trimmed,Match_Found
130440850,332.4,C20H28O4,CC(=C)CCCCCCCCOC(=O)/C=C/C1=CC(=C(C=C1)O)O,"9-methyldec-9-enyl (E)-3-(3,4-dihydroxyphenyl)prop-2-enoate",0,1,C21H30O4,,CCCCCCCCCCCOCOCCCCCCCCOO,,,False
130440849,304.4,C18H24O4,CC(=C)CCCCCCOC(=O)/C=C/C1=CC(=C(C=C1)O)O,"7-methyloct-7-enyl (E)-3-(3,4-dihydroxyphenyl)prop-2-enoate",0,1,C19H26O4,,CCCCCCCCCOCOCCCCCCCCOO,,,False
130431580,376.5,C23H36O4,CCCCCCCCCCCCC(C)OC(=O)/C=C/C1=CC(=C(C=C1)O)O,"tetradecan-2-yl (E)-3-(3,4-dihydroxyphenyl)prop-2-enoate",0,1,C24H38O4,,CCCCCCCCCCCCCCOCOCCCCCCCCOO,,,False
130431579,462.7,C28H46O5,CCCCCCCCCC(=O)CCCCCCCCC.C1=CC(=C(C=C1/C=C/C(=O)O)O)O,"(E)-3-(3,4-dihydroxyphenyl)prop-2-enoic acid;nonadecan-10-one",0,1,C29H48O5,,CCCCCCCCCCOCCCCCCCCCCCCCCCCCCOOOO,,,False
130431555,390.6,C24H38O4,CCCCCCCCCCCCCC(C)OC(=O)/C=C/C1=CC(=C(C=C1)O)O,"pentadecan-2-yl (E)-3-(3,4-dihydroxyphenyl)prop-2-enoate",0,1,C25H40O4,,CCCCCCCCCCCCCCCOCOCCCCCCCCOO,,,False
130423480,352.4,C19H28O6,C[C@]12CC[C@@H](C1(C)C)C[C@@H]2O.C1=CC(=C(C=C1CC(C(=O)O)O)O)O,"3-(3,4-dihydroxyphenyl)-2-hydroxypropanoic acid;(1S,2S,4R)-1,7,7-trimethylbicyclo[2.2.1]heptan-2-ol",0,5,C20H30O6,,CCCCCCCCCCOCCCCCCCCCOOOOO,,,False
130423479,334.4,C19H26O5,C[C@@]12CC[C@@H](C1(C)C)C[C@@H]2OC(=O)C(CC3=CC(=C(C=C3)O)O)O,"[(1R,2S,4R)-1,7,7-trimethyl-2-bicyclo[2.2.1]heptanyl] 3-(3,4-dihydroxyphenyl)-2-hydroxypropanoate",0,5,C20H28O5,,CCCCCCCCCCOCOCCCCCCCCOOO,,,False
130324577,606.6,C29H34O14,C[C@H]1C[C@@H]([C@H]([C@H]([C@@H]1O)O)O)OC[C@@H]2C[C@@H]([C@H]([C@@H]([C@H]2O)O)O)OC3=C(OC4=CC(=CC(=C4C3=O)O)O)C5=CC(=C(C=C5)O)O,"2-(3,4-dihydroxyphenyl)-5,7-dihydroxy-3-[(1S,2S,3R,4S,5S)-2,3,4-trihydroxy-5-[[(1S,2S,3S,4R,5S)-2,3,4-trihydroxy-5-methylcyclohexyl]oxymethyl]cyclohexyl]oxychromen-4-one",0,1,C30H36O14,,CCCCCCCOOOOCCCCCCCOOOOCCOCCCCCCCOOOCCCCCCOO,,,False
130324460,240.21,C11H12O6,CC(=O)O[C@H](CC1=CC(=C(C=C1)O)O)C(=O)O,"(2R)-2-acetyloxy-3-(3,4-dihydroxyphenyl)propanoic acid",0,2,C12H14O6,,CCOOCCCCCCCCOOCOO,CCCCCCCCCCOOCOOO,,False
130311420,378.4,C23H22O5,C1CC(C1)C2=C(C=C(C=C2)/C=C/C(=O)CC(=O)/C=C/C3=CC(=C(C=C3)O)O)O,"(1E,6E)-1-(4-cyclobutyl-3-hydroxyphenyl)-7-(3,4-dihydroxyphenyl)hepta-1,6-diene-3,5-dione",0,1,C24H24O5,,CCCCCCCCCCCCCOCCOCCCCCCCCOOO,,,False
130306624,348.5,C21H32O4,CCC(C)(C)/C=C\C(C)(C)CCC(=O)OCCC1=CC(=C(C=C1)O)O,"2-(3,4-dihydroxyphenyl)ethyl (Z)-4,4,7,7-tetramethylnon-5-enoate",0,2,C22H34O4,,CCCCCCCCCCCCCOOCCCCCCCCOO,,,False
130306566,376.5,C23H36O4,CCC(C)(C)/C=C\CC(C)(C)CCCC(=O)OCCC1=CC(=C(C=C1)O)O,"2-(3,4-dihydroxyphenyl)ethyl (Z)-5,5,9,9-tetramethylundec-7-enoate",0,1,C24H38O4,,CCCCCCCCCCCCCCCOOCCCCCCCCOO,,,False
130291443,364.4,C19H24O7,C1CC(CC(C1)OC(=O)/C=C/C2=CC(=C(C=C2)O)O)C(=O)OCCCO,"3-hydroxypropyl 3-[(E)-3-(3,4-dihydroxyphenyl)prop-2-enoyl]oxycyclohexane-1-carboxylate",0,1,C20H26O7,,CCCCCCOCOCCCCCCCCOOCOOCCCO,CCCCCCCCCOOCCCCCCCCCOCOOO,,False
130290921,338.31,C16H18O8,C1[C@H](C[C@H]([C@@H]([C@@H]1O)O)OC(=O)/C=C/C2=CC(=C(C=C2)O)O)C(=O)O,"(1R,3R,4R,5R)-3-[(E)-3-(3,4-dihydroxyphenyl)prop-2-enoyl]oxy-4,5-dihydroxycyclohexane-1-carboxylic acid",0,2,C17H20O8,,CCCCCCOOOCOCCCCCCCCOOCOO,CCCCCCCCCOOCCCCCCOCOOOO;CCCCCCCCCOOCCCCCCOOCOOO,,False
130290685,380.4,C19H24O8,CC(CO)OC(=O)C1CC[C@H]([C@@H](C1)OC(=O)/C=C/C2=CC(=C(C=C2)O)O)O,"1-hydroxypropan-2-yl (3R,4R)-3-[(E)-3-(3,4-dihydroxyphenyl)prop-2-enoyl]oxy-4-hydroxycyclohexane-1-carboxylate",0,1,C20H26O8,,CCCOOCOCCCCCCOCOCCCCCCCCOOO,CCCCCCCCCOOCCCCCCCCOOCCOOO,,False
