Compound_CID,Molecular_Weight,Molecular_Formula,SMILES,IUPAC_Name,Linked_PubChem_Literature_Count,Linked_PubChem_Patent_Count,Modified_Formula,Matched_Y_CID,Filtered_SMILES_X,Matched_Y_SMILES_Count,Matched_Y_CIDs
123633154,242.31,C16H18O2,CC(C)(C1=CCCC(=O)C=C1)C2=CC=C(C=C2)O,"4-[2-(4-hydroxyphenyl)propan-2-yl]cyclohepta-2,4-dien-1-one",0,1,C16H18O3,285881.0,CCCCCCCCOCCCCCCCCO,12,101303287;101303285;101303280;101303279;101303223;101303221;101303216;101303215;101303199;101303196;101303193;10106566
123507575,270.4,C18H22O2,CCC(C)(CC)C1=CC(=C(C=C1)C2=CC=C(C=C2)O)O,2-(4-hydroxyphenyl)-5-(3-methylpentan-3-yl)phenol,0,1,C18H22O3,133896.0,CCCCCCCCCCCCCCCCCCOO,38,168150473;162931617;155168519;141788103;141425816;137643922;132022947;101303484;101303480;101303479;101303476;101303444;101303440;101303439;101303436;92155732;92155731;92155730;89605474;89460124;88680641;83937312;83937181;82185809;82185808;82185807;82185797;82185795;70877694;58925410;57150459;57093936;22717008;14915932;11659244;5317328;233716;133896
123461290,352.5,C24H32O2,CC(C=CC1=CC(=C(C(=C1)C(C)(C)C)O)C(C)(C)C)C2=CC=C(C=C2)O,"2,6-ditert-butyl-4-[3-(4-hydroxyphenyl)but-1-enyl]phenol",0,1,C24H32O3,67682852.0,CCCCCCCCCCCCCCOCCCCCCCCCCO,2,123976049;89911835
123344938,352.5,C24H32O2,CC(C=CC1=CC=C(C=C1)O)C2=CC(=C(C(=C2)C(C)(C)C)O)C(C)(C)C,"2,6-ditert-butyl-4-[4-(4-hydroxyphenyl)but-3-en-2-yl]phenol",0,1,C24H32O3,67682852.0,CCCCCCCCCCOCCCCCCCCCCOCCCC,2,123404802;89911817
123232721,376.5,C26H32O2,CC(C=CC1=CC=C(C=C1)O)C2=CC(=C(C(=C2)CC=C(C)C)O)CC=C(C)C,"4-[4-(4-hydroxyphenyl)but-3-en-2-yl]-2,6-bis(3-methylbut-2-enyl)phenol",0,1,C26H32O3,144371438.0,CCCCCCCCCCOCCCCCCCCCCCOCCCCC,1,144371449
123229997,486.6,C28H38O7,CCC1CC(OC(O1)C2=CC=C(C=C2)O)CCCC(CC3CC(OC(O3)C4=CC=C(C=C4)O)C)O,"4-[4-[5-[6-ethyl-2-(4-hydroxyphenyl)-1,3-dioxan-4-yl]-2-hydroxypentyl]-6-methyl-1,3-dioxan-2-yl]phenol",0,1,C28H38O8,10625274.0,CCCCCOCOCCCCCCOCCCCCCCCOCOCCCCCCOCO,1,118490475
123170308,270.4,C18H22O2,C1CCC(CC1)(C2=CCC(=O)CC2)C3=CC=C(C=C3)O,4-[1-(4-hydroxyphenyl)cyclohexyl]cyclohex-3-en-1-one,0,1,C18H22O3,133896.0,CCCCCCCCCCOCCCCCCCCO,4,101303480;101303440;88477420;67872386
122522119,326.4,C23H18O2,C1=CC2=C(C(=C1)CC3=CC=C(C=C3)O)C(=CC=C2)C4=CC=C(C=C4)O,4-[[8-(4-hydroxyphenyl)naphthalen-1-yl]methyl]phenol,0,1,C23H18O3,344349.0,CCCCCCCCCCCCCOCCCCCCCCCCO,1,10545242
122207097,364.4,C26H20O2,C1=CC=C(C=C1)C(=O)C(C2=CC=CC=C2)(C3=CC=CC=C3)C4=CC=C(C=C4)O,"2-(4-hydroxyphenyl)-1,2,2-triphenylethanone",0,0,C26H20O3,58381749.0,CCCCCCCOCCCCCCCCCCCCCCCCCCCO,1,70182087
122178995,370.4,C25H22O3,CC/C(=C(\C1=CC=CC=C1)/C2=CC=C(C=C2)/C=C/C(=O)O)/C3=CC=C(C=C3)O,(E)-3-[4-[(Z)-2-(4-hydroxyphenyl)-1-phenylbut-1-enyl]phenyl]prop-2-enoic acid,2,2,C25H22O4,71122214.0,CCCCCCCCCCCCCCCCCCCOOCCCCCCO,2,158698347;71122214
