Compound_CID,Molecular_Weight,Molecular_Formula,SMILES,IUPAC_Name,Linked_PubChem_Literature_Count,Linked_PubChem_Patent_Count
102004878,800.8,C36H48O20,C[C@H]1[C@@H]([C@H]([C@H]([C@@H](O1)O[C@@H]2[C@H]([C@@H](O[C@@H]([C@H]2OC(=O)/C=C/C3=CC(=C(C=C3)O)O)CO[C@H]4[C@@H]([C@H]([C@@H]([C@H](O4)CO)O)O)O)OCCC5=CC(=C(C=C5)OC)O)O)O)O)O,"[(2R,3R,4R,5R,6R)-5-hydroxy-6-[2-(3-hydroxy-4-methoxyphenyl)ethoxy]-2-[[(2R,3R,4S,5S,6R)-3,4,5-trihydroxy-6-(hydroxymethyl)oxan-2-yl]oxymethyl]-4-[(2S,3R,4R,5R,6S)-3,4,5-trihydroxy-6-methyloxan-2-yl]oxyoxan-3-yl] (E)-3-(3,4-dihydroxyphenyl)prop-2-enoate",2,0
102004735,514.5,C30H26O8,COC1=C(C=C(C=C1)[C@@H]2[C@H](C3=C(C=C(C=C3O2)OC)/C=C/C4=CC(=CC(=C4)O)O)C5=CC(=CC(=C5)O)O)O,"5-[(E)-2-[(2S,3S)-3-(3,5-dihydroxyphenyl)-2-(3-hydroxy-4-methoxyphenyl)-6-methoxy-2,3-dihydro-1-benzofuran-4-yl]ethenyl]benzene-1,3-diol",4,0
102000763,784.8,C36H48O19,C[C@H]1[C@@H]([C@H]([C@H]([C@@H](O1)O[C@@H]2[C@H]([C@@H](O[C@@H]([C@H]2OC(=O)/C=C\C3=CC(=C(C=C3)O)OC)CO[C@H]4[C@@H]([C@](CO4)(CO)O)O)OCCC5=CC(=C(C=C5)OC)O)O)O)O)O,"[(2R,3R,4R,5R,6R)-2-[[(2R,3R,4R)-3,4-dihydroxy-4-(hydroxymethyl)oxolan-2-yl]oxymethyl]-5-hydroxy-6-[2-(3-hydroxy-4-methoxyphenyl)ethoxy]-4-[(2S,3R,4R,5R,6S)-3,4,5-trihydroxy-6-methyloxan-2-yl]oxyoxan-3-yl] (Z)-3-(4-hydroxy-3-methoxyphenyl)prop-2-enoate",0,0
101999267,848.8,C46H40O16,COC1=C(C=C(C=C1)[C@@H]2[C@H](CC3=C4C(=C5C(=C3O2)[C@H]([C@@H]([C@H](O5)C6=CC(=C(C=C6)O)O)O)C7=C(C=C(C=C7)O)O)[C@@H]([C@H]([C@@H](O4)C8=C(C=C(C=C8)O)O)O)C9=CC(=C(C=C9)O)O)O)O,"(4S,5R,6S,10R,11S,12R,16R,17S)-4,12-bis(2,4-dihydroxyphenyl)-6,10-bis(3,4-dihydroxyphenyl)-16-(3-hydroxy-4-methoxyphenyl)-3,9,15-trioxatetracyclo[12.4.0.02,7.08,13]octadeca-1,7,13-triene-5,11,17-triol",0,0
101999266,848.8,C46H40O16,COC1=C(C=C(C=C1)[C@@H]2[C@H](CC3=C4C(=C5C(=C3O2)[C@H]([C@@H]([C@H](O5)C6=CC(=C(C=C6)O)O)O)C7=C(C=C(C=C7)O)O)[C@@H]([C@H]([C@H](O4)C8=C(C=C(C=C8)O)O)O)C9=CC(=C(C=C9)O)O)O)O,"(4R,5R,6S,10R,11S,12R,16R,17S)-4,12-bis(2,4-dihydroxyphenyl)-6,10-bis(3,4-dihydroxyphenyl)-16-(3-hydroxy-4-methoxyphenyl)-3,9,15-trioxatetracyclo[12.4.0.02,7.08,13]octadeca-1,7,13-triene-5,11,17-triol",0,0
101999265,848.8,C46H40O16,COC1=C(C=C(C=C1)[C@@H]2[C@H](CC3=C(O2)C4=C(C5=C3O[C@@H]([C@H]([C@@H]5C6=C(C=C(C=C6)O)O)O)C7=CC(=C(C=C7)O)O)O[C@@H]([C@H]([C@@H]4C8=C(C=C(C=C8)O)O)O)C9=CC(=C(C=C9)O)O)O)O,"(4R,5S,6R,10R,11S,12R,16R,17S)-6,12-bis(2,4-dihydroxyphenyl)-4,10-bis(3,4-dihydroxyphenyl)-16-(3-hydroxy-4-methoxyphenyl)-3,9,15-trioxatetracyclo[12.4.0.02,7.08,13]octadeca-1(14),2(7),8(13)-triene-5,11,17-triol",0,0
101999264,848.8,C46H40O16,COC1=C(C=C(C=C1)[C@@H]2[C@H](CC3=C(O2)C4=C(C5=C3O[C@H]([C@H]([C@@H]5C6=C(C=C(C=C6)O)O)O)C7=CC(=C(C=C7)O)O)O[C@@H]([C@H]([C@@H]4C8=C(C=C(C=C8)O)O)O)C9=CC(=C(C=C9)O)O)O)O,"(4S,5S,6R,10R,11S,12R,16R,17S)-6,12-bis(2,4-dihydroxyphenyl)-4,10-bis(3,4-dihydroxyphenyl)-16-(3-hydroxy-4-methoxyphenyl)-3,9,15-trioxatetracyclo[12.4.0.02,7.08,13]octadeca-1(14),2(7),8(13)-triene-5,11,17-triol",0,0
101999263,848.8,C46H40O16,COC1=C(C=C(C=C1)[C@@H]2[C@H](CC3=C(O2)C4=C(C5=C3O[C@@H]([C@@H]([C@H]5C6=CC(=C(C=C6)O)O)O)C7=C(C=C(C=C7)O)O)O[C@@H]([C@@H]([C@H]4C8=CC(=C(C=C8)O)O)O)C9=C(C=C(C=C9)O)O)O)O,"(4R,5R,6S,10R,11R,12S,16R,17S)-4,10-bis(2,4-dihydroxyphenyl)-6,12-bis(3,4-dihydroxyphenyl)-16-(3-hydroxy-4-methoxyphenyl)-3,9,15-trioxatetracyclo[12.4.0.02,7.08,13]octadeca-1(14),2(7),8(13)-triene-5,11,17-triol",0,0
101999262,848.8,C46H40O16,COC1=C(C=C(C=C1)[C@@H]2[C@H](CC3=C4C(=C5C(=C3O2)[C@H]([C@@H]([C@@H](O5)C6=CC(=C(C=C6)O)O)O)C7=C(C=C(C=C7)O)O)[C@@H]([C@H]([C@H](O4)C8=C(C=C(C=C8)O)O)O)C9=CC(=C(C=C9)O)O)O)O,"(4R,5R,6S,10S,11S,12R,16R,17S)-4,12-bis(2,4-dihydroxyphenyl)-6,10-bis(3,4-dihydroxyphenyl)-16-(3-hydroxy-4-methoxyphenyl)-3,9,15-trioxatetracyclo[12.4.0.02,7.08,13]octadeca-1,7,13-triene-5,11,17-triol",0,0
101999261,848.8,C46H40O16,COC1=C(C=C(C=C1)[C@@H]2[C@H](CC3=C(O2)C4=C(C5=C3O[C@H]([C@H]([C@@H]5C6=C(C=C(C=C6)O)O)O)C7=CC(=C(C=C7)O)O)O[C@@H]([C@@H]([C@H]4C8=CC(=C(C=C8)O)O)O)C9=C(C=C(C=C9)O)O)O)O,"(4S,5S,6R,10R,11R,12S,16R,17S)-6,10-bis(2,4-dihydroxyphenyl)-4,12-bis(3,4-dihydroxyphenyl)-16-(3-hydroxy-4-methoxyphenyl)-3,9,15-trioxatetracyclo[12.4.0.02,7.08,13]octadeca-1(14),2(7),8(13)-triene-5,11,17-triol",0,0
