Molecular_Formula,Trimmed_SMILES
C28H32O16,CCCCCCCCCOCCCCCCOCCCCCOCOOOOOCCCCCOCOOOOOO
C16H14O5,CCCCCCCCCOOCCCCCCOO
C28H32O16,CCCCCCCCCOCCOCCCCOOCCCCCOCOOOOCCCCCOCOOOOO
C28H32O16,CCCCCCCCCOCCOCCCCOOCCCCCOCOOOOCCCCCOCOOOOO
C28H32O16,CCCCCCCCCOCCCCCCOOCCCCCOCOOOOCCCCCOCOOOOOO
C19H24O7,CCCCCCCCCOOCCCCCCCCCOOOO
C23H24O12,CCCCCCCCCOCCCCCCOOCCCCCOCOOOOOCOO
C23H24O12,CCCCCCCCCOCCCCCCOOCCCCCOCOOOOOCOO
C23H24O12,CCCCCCCCCOCCCCCCOOCCCCCOCOOOOOCOO
C57H72O33,CCCCCCCCCOOCCCCCOCOOOCOCCCCCCOCCCCCOCOOCOCCCCCCCCOOCOCCCCCOCOOCCCCCOCOOOOOOOCCCCCOCOOOOO
C57H72O33,CCCCCCCCCOOCCCCCOCOOOCOCCCCCCOCCCCCOCOOCOCCCCCCCCOOCOCCCCCOCOOCCCCCOCOOOOOOOCCCCCOCOOOOO
C19H22O5,CCCCCCCCCOCCCCCCCCOOCO
C19H22O5,CCCCCCCCCOCCCCCCCCOOCO
C27H30O15,CCCCCCCCCOCCCCCCOOCCCCCOCOCCCCOCOOOOOOOO
C27H30O15,CCCCCCCCCOCCCCCCOOCCCCCOCOCCCCOCOOOOOOOO
C20H16O5,CCCCCCCCCOCCCCCCCCCCOOO
C16H14O7,CCCCCCCCCOCCCCCCOOOOO
C16H14O7,CCCCCCCCCOCCCCCCOOOOO
C16H14O7,CCCCCCCCCOCCCCCCOOOOO
C22H22O12,CCCCCCCCCOCCCCCCOOOOCCCCCOCOOOOO
C26H32O11,CCCCCCCCCOCCCOCCCCCCOCCCCCOCOOOOOCO
C26H32O11,CCCCCCCCCOCCCOCCCCCCOCCCCCOCOOOOOCO
C26H32O11,CCCCCCCCCOCCCOCCCCCCOCCCCCOCOOOOOCO
C26H32O11,CCCCCCCCCOCCCOCCCCCCOCCCCCOCOOOOOCO
C26H32O11,CCCCCCCCCOCCCOCCCCCCOCCCCCOCOOOOOCO
C26H32O11,CCCCCCCCCOCCCOCCCCCCOCCCCCOCOOOOOCO
C26H32O11,CCCCCCCCCOCCCOCCCCCCOCCCCCOCOOOOOCO
C26H32O11,CCCCCCCCCOCCCOCCCCCCOCCCCCOCOOOOOCO
C26H32O11,CCCCCCCCCOCCCOCCCCCCOCCCCCOCOOOOOCO
C26H32O11,CCCCCCCCCOCCCOCCCCCCOCCCCCOCOOOOOCO
C26H32O11,CCCCCCCCCOCCCOCCCCCCOCCCCCOCOOOOOCO
C26H32O11,CCCCCCCCCOCCCOCCCCCCOCCCCCOCOOOOOCO
C26H32O11,CCCCCCCCCOCCCOCCCCCCOCCCCCOCOOOOOCO
C26H32O11,CCCCCCCCCOCCCOCCCCCCOCCCCCOCOOOOOCO
C26H32O11,CCCCCCCCCOCCCOCCCCCCOCCCCCOCOOOOOCO
C26H32O11,CCCCCCCCCOCCCOCCCCCCOCCCCCOCOOOOOCO
C26H32O11,CCCCCCCCCOCCCOCCCCCCOCCCCCOCOOOOOCO
C26H32O11,CCCCCCCCCOCCCOCCCCCCOCCCCCOCOOOOOCO
C26H32O11,CCCCCCCCCOCCCOCCCCCCOCCCCCOCOOOOOCO
C26H32O11,CCCCCCCCCOCCCOCCCCCCOCCCCCOCOOOOOCO
C26H32O11,CCCCCCCCCOCCCOCCCCCCOCCCCCOCOOOOOCO
C26H32O11,CCCCCCCCCOCCCOCCCCCCOCCCCCOCOOOOOCO
C20H20O4,CCCCCCCCCOCCCCCCCCCCOO
C19H20O7,CCCCCCCCCOCCCCCCOOCOCOCO
C28H32O17,CCCCCCCCCOCCOCCCCOOCCCCCOCOOOOCCCCCOCOOOOOO
C28H32O17,CCCCCCCCCOCCOCCCCOOCCCCCOCOOOOCCCCCOCOOOOOO
C28H32O17,CCCCCCCCCOCCOCCCCOOCCCCCOCOOOOCCCCCOCOOOOOO
C37H50O21,CCCCCCCCOCCCCCOCOCOCCCCCCCCOOCOOCCCCCOCOOOOOCCCCCOCOOOOO
C40H42O13,CCCCCCCCCOCOCCCCCCCCOOCOCCCCCCCCCOCOCCCCCCCCOOCOCOO
C40H42O13,CCCCCCCCCOCOCCCCCCCCOOCOCCCCCCCCCOCOCCCCCCCCOOCOCOO
C22H22O12,CCCCCCCCCOCCCCCCOOCCCCCOCOOOOOOO
C22H22O12,CCCCCCCCCOCCCCCCOOCCCCCOCOOOOOOO
C22H22O12,CCCCCCCCCOCCCCCCOOCCCCCOCOOOOOOO
C22H22O12,CCCCCCCCCOCCCCCCOOCCCCCOCOOOOOOO
C31H28O15,CCCCCCCCCOCCCCCCOOOOCCCCCOCOCOCCCCCCCCOOOOOO
C31H28O15,CCCCCCCCCOCCCCCCOOOOCCCCCOCOCOCCCCCCCCOOOOOO
C31H28O15,CCCCCCCCCOCCCCCCOOOOCCCCCOCOCOCCCCCCCCOOOOOO
C31H28O15,CCCCCCCCCOCCCCCCOOOOCCCCCOCOCOCCCCCCCCOOOOOO
C18H22O6,CCCCCCCCOCCCCCCCOOCOCO
C18H22O6,CCCCCCCCOCCCCCCCOOCOCO
C20H24O7,CCCCCCCCCOCCCCCCCCOCOCOOO
C20H24O7,CCCCCCCCCOCCCCCCCCOCOCOOO
C22H22O11,CCCCCCCCOCCCCCCCOOOCCCCCOCOOOOO
C22H22O11,CCCCCCCCOCCCCCCCOOOCCCCCOCOOOOO
C22H22O11,CCCCCCCCOCCCCCCCOOOCCCCCOCOOOOO
C22H22O11,CCCCCCCCOCCCCCCCOOOCCCCCOCOOOOO
C28H32O17,CCCCCCCCCOCCCCCCOOCCCCCOCOOOOOOCCCCCOCOOOOO
C28H32O17,CCCCCCCCCOCCCCCCOOCCCCCOCOOOOOOCCCCCOCOOOOO
C28H32O17,CCCCCCCCCOCCCCCCOOCCCCCOCOOOOOOCCCCCOCOOOOO
C28H32O17,CCCCCCCCCOCCCCCCOOCCCCCOCOOOOOOCCCCCOCOOOOO
C28H32O17,CCCCCCCCCOCCCCCCOOCCCCCOCOOOOOOCCCCCOCOOOOO
C22H22O11,CCCCCCCCCOCCOCCCCOCCCCCOCOOOOOO
C22H22O11,CCCCCCCCCOCCOCCCCOCCCCCOCOOOOOO
C16H14O6,CCCCCCCCOCCCCCCCOOOO
C16H24O10,CCCCCCCCCOOCCCCCOCOOOOOO
C12H16O4,CCCCCCCCCCCOOO
C23H24O13,CCCCCCCCCOCCOCCCCOOCOOCCCCCOCOOOOO
C23H24O13,CCCCCCCCCOCCOCCCCOOCOOCCCCCOCOOOOO
C27H32O15,CCCCCCCCCOCCCCCCOOCCCCCOCOOOOCCCCOCOOOOO
C27H32O15,CCCCCCCCCOCCCCCCOOCCCCCOCOOOOCCCCOCOOOOO
C27H32O15,CCCCCCCCCOCCCCCCOOCCCCCOCOOOOCCCCOCOOOOO
C27H32O15,CCCCCCCCCOCCCCCCOOCCCCCOCOOOOCCCCOCOOOOO
C27H32O15,CCCCCCCCCOCCCCCCOOCCCCCOCOOOOCCCCOCOOOOO
C27H32O15,CCCCCCCCCOCCCCCCOOCCCCCOCOOOOCCCCOCOOOOO
C24H26O13,CCCCCCCCCOCCCCCCOOCOCCCCCOCOOOOOOCO
C24H26O13,CCCCCCCCCOCCCCCCOOCOCCCCCOCOOOOOOCO
C21H22O11,CCCCCCCOCOCCCCCCOCCCCCOCOOOOOO
C21H22O11,CCCCCCCOCOCCCCCCOCCCCCOCOOOOOO
C23H20O12,CCCCCCCCCOOCCCOOOCOCCCCCCCCOOCOOO
C23H20O12,CCCCCCCCCOOCCCOOOCOCCCCCCCCOOCOOO
C23H20O12,CCCCCCCCCOOCCCOOOCOCCCCCCCCOOCOOO
C23H20O12,CCCCCCCCCOOCCCOOOCOCCCCCCCCOOCOOO
C16H12O5,CCCCCCCCOCCCCCCCOOO
C23H24O11,CCCCCCCCOCCCCCCCOOCOCCCCCOCOOOOO
C23H24O11,CCCCCCCCOCCCCCCCOOCOCCCCCOCOOOOO
C23H24O11,CCCCCCCCOCCCCCCCOOCOCCCCCOCOOOOO
C22H22O12,CCCCCCCCCOCCOCCCCOOCCCCCOCOOOOOO
C28H32O16,CCCCCCCCCOCCCCCCOOCCCCCOCOOOOCCCCCOCOOOOOO
C28H32O16,CCCCCCCCCOCCCCCCOOCCCCCOCOOOOCCCCCOCOOOOOO
C28H32O16,CCCCCCCCCOCCCCCCOOCCCCCOCOOOOCCCCCOCOOOOOO
C28H32O16,CCCCCCCCCOCCCCCCOOCCCCCOCOOOOCCCCCOCOOOOOO
C28H32O16,CCCCCCCCCOCCCCCCOOCCCCCOCOOOOCCCCCOCOOOOOO
C22H22O11,CCCCCCCCOCCCOCCCCOCCCCCOCOOOOOO
C22H22O11,CCCCCCCCOCCCOCCCCOCCCCCOCOOOOOO
C26H26O12,CCCCCCCCCOOCCCCCCOCOCCCCCCCCOOOCOOOO
C26H26O12,CCCCCCCCCOOCCCCCCOCOCCCCCCCCOOOCOOOO
C26H26O12,CCCCCCCCCOOCCCCCCOCOCCCCCCCCOOOCOOOO
C26H26O12,CCCCCCCCCOOCCCCCCOCOCCCCCCCCOOOCOOOO
C26H30O14,CCCCCCCCCOOCCCCCCCOCCCOOOCCCCCOCOOOOOO
C26H30O14,CCCCCCCCCOOCCCCCCCOCCCOOOCCCCCOCOOOOOO
C36H48O20,CCCCCCCCOCCCCCOCOCOCCCCCCCCOOCOOCCCCCOCOOOOOCCCCCOOOOO
C36H48O20,CCCCCCCCOCCCCCOCOCOCCCCCCCCOOCOOCCCCCOCOOOOOCCCCCOOOOO
C36H48O20,CCCCCCCCOCCCCCOCOCOCCCCCCCCOOCOOCCCCCOCOOOOOCCCCCOOOOO
C13H14O5,CCCCCCCCCOCOCCOO
C13H14O5,CCCCCCCCCOCOCCOO
C13H14O5,CCCCCCCCCOCOCCOO
C42H50O16,CCCCCCCCCOOCCCCCCOCCCCOCCCOCCCCCCOCOCCOCCCCCCCOOCOOCOCOO
C42H50O16,CCCCCCCCCOOCCCCCCOCCCCOCCCOCCCCCCOCOCCOCCCCCCCOOCOOCOCOO
C42H50O16,CCCCCCCCCOOCCCCCCOCCCCOCCCOCCCCCCOCOCCOCCCCCCCOOCOOCOCOO
C27H30O14,CCCCCCCCOCCCOCCCCOCCCCCOCOCCCCCOOOOOOOO
C17H14O7,CCCCCCCCCOCCOCCCCOOCOO
C31H28O14,CCCCCCCCCOCCCCCCOOOOCCCCCOCOCOCCCCCCCCOOOOO
C31H28O14,CCCCCCCCCOCCCCCCOOOOCCCCCOCOCOCCCCCCCCOOOOO
C31H28O14,CCCCCCCCCOCCCCCCOOOOCCCCCOCOCOCCCCCCCCOOOOO
C23H24O13,CCCCCCCCCOCCOCCCCOOOCOCCCCCOCOOOOO
C23H24O13,CCCCCCCCCOCCOCCCCOOOCOCCCCCOCOOOOO
C23H24O13,CCCCCCCCCOCCOCCCCOOOCOCCCCCOCOOOOO
C23H24O13,CCCCCCCCCOCCOCCCCOOOCOCCCCCOCOOOOO
C23H24O13,CCCCCCCCCOCCOCCCCOOOCOCCCCCOCOOOOO
C20H22O6,CCCCCCCCCOCCCOCCCCCCOOCO
C29H34O17,CCCCCCCCOCCCCCCCOOOCOCCCCCOCOCCCCCOCOOOOOOOO
C22H20O12,CCCCCCCCCOCCCCCCOOCCCCCOCOOOOOOO
C22H20O12,CCCCCCCCCOCCCCCCOOCOCCCCCOOOOOOO
C22H20O12,CCCCCCCCCOCCCCCCOOCOCCCCCOOOOOOO
C26H30O15,CCCCCCCOCOCCCCCCOCCCCCOCOCCCCCOOOOOOOOO
C26H30O15,CCCCCCCOCOCCCCCCOCCCCCOCOCCCCCOOOOOOOOO
C21H20O11,CCCCCCCCCOCCCCCCOOOOCCCCCOOOOO
C21H20O11,CCCCCCCCCOCCCCCCOOOOCCCCCOOOOO
C20H24O6,CCCCCCCCCOCCCCCCCCOCOCOO
C24H26O14,CCCCCCCCCOCCCCCCOOCOOCOOCCCCCOCOOOOO
C24H26O14,CCCCCCCCCOCCCCCCOOCOOCOOCCCCCOCOOOOO
C12H14O4,CCCCCCCCCCOOCO
C22H22O13,CCCCCCCCCOCCCCCCOOCCCCCOCOOOOOOOO
C22H22O13,CCCCCCCCCOCCCCCCOOCCCCCOCOOOOOOOO
C11H16O5,CCCCCCCCCOOOCO
C23H24O12,CCCCCCCCCOCCCCCCOOCOCCCCCOCOOOOOO
C23H24O12,CCCCCCCCCOCCCCCCOOCOCCCCCOCOOOOOO
C23H24O12,CCCCCCCCCOCCCCCCOOCOCCCCCOCOOOOOO
C22H24O11,CCCCCCCCCOCCCCCCOOCCCCCOCOOOOOO
C22H24O11,CCCCCCCCCOCCCCCCOOCCCCCOCOOOOOO
C22H24O11,CCCCCCCCCOCCCCCCOOCCCCCOCOOOOOO
C22H24O11,CCCCCCCCCOCCCCCCOOCCCCCOCOOOOOO
C37H50O21,CCCCCCCCOCCCCCOCOCOCCCCCCCCOOCOOCCCCCOCOOOOCCCCCOCOOOOOO
C37H50O21,CCCCCCCCOCCCCCOCOCOCCCCCCCCOOCOOCCCCCOCOOOOCCCCCOCOOOOOO
C20H22O6,CCCCCCCCCCOCOCCCCCCCOCOO
C20H22O6,CCCCCCCCCCOCOCCCCCCCOCOO
C24H26O13,CCCCCCCCCOCCCCCCOOCCCCCOCOOOOOCOOCO
C19H20O5,CCCCCCCCCOCOCCCCCCCCOO
C19H18O8,CCCCCCCCCOOCCCCCCCCOOCOOO
C22H22O11,CCCCCCCCCOCCOCCCCOOCCCCCOCOOOOO
C22H22O11,CCCCCCCCCOCCOCCCCOOCCCCCOCOOOOO
C17H16O6,CCCCCCCCCOCCOCCCCOOCO
C23H16O7,CCCCCCCCCOOCCCCCCCOCCCCCCOOO
C18H20O6,CCCCCCCCCCCOOCCCCCCOOO
C16H16O4,CCCCCCCCCCCCCCOOCO
C21H22O6,CCCCCCCCCCOCOCCCCCCCOCCOO
C21H22O6,CCCCCCCCCCOCOCCCCCCCOCCOO
C12H16O5,CCCCCCCCCCCOOOO
C18H18O7,CCCCCCCCCOCCCOCCCCOOCOO
C24H26O13,CCCCCCCCCOCCOCCCCOCCCCCOCOOOOOCOOCO
C24H26O13,CCCCCCCCCOCCOCCCCOCCCCCOCOOOOOCOOCO
C27H30O15,CCCCCCCCCOCCCCCCOOCCCCCOCOOOOCCCCOCOOOOO
C27H30O15,CCCCCCCCCOCCCCCCOOCCCCCOCOOOOCCCCOCOOOOO
C27H30O14,CCCCCCCCOCCCOCCCCOCCCCCOCOCCCCOCOOOOOOO
C27H30O14,CCCCCCCCOCCCOCCCCOCCCCCOCOCCCCOCOOOOOOO
C22H20O13,CCCCCCCCCOCCOCCCCOOOCOCCCCCOOOOOO
C22H20O13,CCCCCCCCCOCCOCCCCOOOCOCCCCCOOOOOO
C20H22O4,CCCCCCCCCCCOCCCCCCCCOO
C20H22O4,CCCCCCCCCCCOCCCCCCCCOO
C23H18O9,CCCCCCCCOCCOCCCCOCCCCCCCOOOCOO
C23H18O9,CCCCCCCCOCCOCCCCOCCCCCCCOOOCOO
C23H18O9,CCCCCCCCOCCOCCCCOCCCCCCCOOOCOO
C36H48O20,CCCCCCCCOCCCCCOCOOCOCCCCCCCCOOCOCCCCCOCOOOOOCCCCCOOOOO
C31H22O11,CCCCCCCCCOCCOCCCCOOCCOCCCCCCCOOOCCCCCCOO
C31H22O11,CCCCCCCCCOCCOCCCCOOCCOCCCCCCCOOOCCCCCCOO
C28H32O16,CCCCCCCCCOCCOCCCCOOCCCCCOCOOOOCCCCCOCOOOOO
C28H32O16,CCCCCCCCCOCCOCCCCOOCCCCCOCOOOOCCCCCOCOOOOO
C11H14O4,CCCCCCCCCCOOO
C22H24O10,CCCCCCCCCOCCCCCCOCCCCCOCOOOOOO
C22H24O10,CCCCCCCCCOCCCCCCOCCCCCOCOOOOOO
C26H32O12,CCCCCCCCCOCCCOOCCCCCOCOOOOCCCCCCOOCO
C25H30O13,CCCCCCCCCOOCCCCOCCCCOCOOCCCCCOCOOOOO
C25H30O13,CCCCCCCCCOOCCCCOCCCCOCOOCCCCCOCOOOOO
C25H30O13,CCCCCCCCCOOCCCCOCCCCOCOOCCCCCOCOOOOO
C25H30O13,CCCCCCCCCOOCCCCOCCCCOCOOCCCCCOCOOOOO
C23H30O11,CCCCCCCCOCCCCCCCOOCOCCCCCOCOOOOO
C23H30O11,CCCCCCCCOCCCCCCCOOCOCCCCCOCOOOOO
C23H30O11,CCCCCCCCOCCCCCCCOOCOCCCCCOCOOOOO
C23H30O11,CCCCCCCCOCCCCCCCOOCOCCCCCOCOOOOO
C23H30O11,CCCCCCCCOCCCCCCCOOCOCCCCCOCOOOOO
C23H30O11,CCCCCCCCOCCCCCCCOOCOCCCCCOCOOOOO
C23H30O11,CCCCCCCCOCCCCCCCOOCOCCCCCOCOOOOO
C23H30O11,CCCCCCCCOCCCCCCCOOCOCCCCCOCOOOOO
C11H14O5,CCCCCCCCOCOOCO
C11H14O5,CCCCCCCCOCOOCO
C11H14O5,CCCCCCCCCOOCOO
C20H22O6,CCCCCCCCCOCOCCCCCCCCOOCO
C37H50O21,CCCCCCCCOCCCCCOCOOCOCCCCCCCCOOCOCCCCCOCOOOOCCCCCOCOOOOOO
C37H50O21,CCCCCCCCOCCCCCOCOOCOCCCCCCCCOOCOCCCCCOCOOOOCCCCCOCOOOOOO
C18H14O5,CCCCCCCCCCCOCCOCCCCOO
C27H30O15,CCCCCCCCCOCCCCCCOOCCCCCOCOOOOCCCCOCOOOOO
C27H28O12,CCCCCCCCCOOCCCCCCOOCOCCCCCCCCOOCCOOOO
C27H28O12,CCCCCCCCCOOCCCCCCOOCOCCCCCCCCOOCCOOOO
C26H32O11,CCCCCCCCCOCCCOCCCCCCOCCCCCOCOOOOOCO
C26H32O11,CCCCCCCCCOCCCOCCCCCCOCCCCCOCOOOOOCO
C20H24O5,CCCCCCCCCCCOCCCCCCCCOOO
C18H16O5,CCCCCCCCCCCOCCOCCCCOO
C26H22O9,CCCCCCCCOCCCOCCCCOCCOCCCCCCOOCCOO
C18H16O8,CCCCCCCCCOCCCCCCOOOOCOCO
C31H40O16,CCCCCCCCOCCCCCOCOCOCCCCCCCCOOCOOCCCCCOCOOOOOO
C31H40O16,CCCCCCCCOCCCCCOCOCOCCCCCCCCOOCOOCCCCCOCOOOOOO
C31H40O16,CCCCCCCCOCCCCCOCOCOCCCCCCCCOOCOOCCCCCOCOOOOOO
C31H40O16,CCCCCCCCOCCCCCOCOCOCCCCCCCCOOCOOCCCCCOCOOOOOO
C31H40O16,CCCCCCCCOCCCCCOCOCOCCCCCCCCOOCOOCCCCCOCOOOOOO
C31H40O16,CCCCCCCCOCCCCCOCOCOCCCCCCCCOOCOOCCCCCOCOOOOOO
C25H20O10,CCCCCCCCOCCOCCCCCCCOCCCCCCOOOOCOO
C22H22O12,CCCCCCCCCOCCOCCCCOCCCCCOCOOOOOOO
C22H22O12,CCCCCCCCCOCCOCCCCOCCCCCOCOOOOOOO
C22H22O12,CCCCCCCCCOCCOCCCCOCCCCCOCOOOOOOO
C22H22O12,CCCCCCCCCOCCOCCCCOCCCCCOCOOOOOOO
C18H16O7,CCCCCCCCCOCCOCCCCOOCOCO
C16H14O5,CCCCCCCCOCCCOCCCCOO
C16H14O5,CCCCCCCCOCCCOCCCCOO
C10H12O4,CCCCCCCCCOOO
C26H32O12,CCCCCCCCCOCCCOOCCCCCOCOOOOCCCCCCOOCO
C26H32O12,CCCCCCCCCOCCCOOCCCCCOCOOOOCCCCCCOOCO
C26H32O12,CCCCCCCCCOCCCOOCCCCCOCOOOOCCCCCCOOCO
C17H16O6,CCCCCCCCCOCCCCCCCOOOO
C17H16O6,CCCCCCCCCOCCCCCCCOOOO
C20H18O6,CCCCCCCCCOCOCCCCCCCCOCOO
C20H18O6,CCCCCCCCCOCOCCCCCCCCOCOO
C20H18O6,CCCCCCCCCOCOCCCCCCCCOCOO
C21H26O9,CCCCCCCCCCCCCCOCCCCCOCOOOOOO
C16H14O5,CCCCCCCCCCCCCCCOOOO
C20H20O6,CCCCCCCCCOCCOCCCCCCCCOOO
C16H18O10,CCCCCCCCCOOCCCCCOCOOOOOO
C20H22O6,CCCCCCCCCOCCCCCCCCOCOCOO
C25H22O10,CCCCCCCCOCCOCCCCCCCOCCCCCCOOOOCOO
C18H18O4,CCCCCCCCCCCOCCCCCCOO
C22H26O12,CCCCCCCCCOCCCCCCOOCCCCCOCOOOOOOO
C18H16O4,CCCCCCCCCCCOCCCCCCOO
C19H14O6,CCCCCCCCCOOCCCOOCCCCCCO
C14H16O8,CCCCCCCOCCCOCCCOOOOO
C26H30O14,CCCCCCCCCOOCCCCCCCOCCCOOOCCCCCOCOOOOOO
C28H36O16,CCCCCCCCCOCCCCCCOCCCCCOCOOOOOCCCCCOCOOOOOO
C22H26O11,CCCCCCCCCOCCCCCCOCCCCCOCOOOOOOO
C22H26O11,CCCCCCCCCOCCCCCCOOCCCCCOCOOOOOO
C20H20O8,CCCCCCCCCOOCCCCCCCCCOOCOOO
C12H12O4,CCCCCCCCCOCCOO
C111H96O36,CCCCCCCCCOOCCCCCCOOCOCCCCCCCCCOOCCCCCCOOCOCCCCCCCCCOOCCCCCCOOCOCOCCCCCCCCCOOCCCCCCOOCOCCCCCCCCCOOCCCCCCOOCCCCCCCCOOCOCCCCCCOOCCCCCCCCOOCOCCCCCCOO
C94H80O26,CCCCCCCCCOCCOCCCCOOCOCCCCCOCCOCCCCCCCCOCOCCCCCCCOCCOCCCCCCOCOCCCCCCCCCOCCOCCCCOOCCOCCCOCCCCOCCCCCCCCOCCCOCCCCOCCCCCCOO
C113H116O20,CCCCCCCCCCCCCCCCCCCCOCOOCOCCCCCCCCCCCCCCCCCCCCOOCOCOCCCCCCCCCCCCCCCCCCCCOCOCOCOCCCCCCCCCCCCCCCCCCCCOCOCOCOCCCCCCCCCCCCCCCCCCCCOOCOC
C94H80O35,CCCCCCCCCOCCCCCCOOOOCOCCCCCOCCOCCCCCCCCOOOCOCCCCCCCOCCOCCCCCCOOOCOCCCCCCCCCOCCCCCCOOOOCCOCCCCCCCOOOCCCCCCOCCOCCCCCCCOOOCCCCCCOO
C32H28O10,CCCCCCCCCOOCCCCCCOOCOCCCCCCCCCOOCCCCCCOO
C67H68O12,CCCCCCCCCCCCCCCCCCCCOCOOCOCCCCCCCCCCCCCCCCCCCCOOCOCCOCCCCCCCCCCCCCCCCCCCCOOCO
C13H14O6,CCCCCCCCCOOOCCCOO
C94H72O35,CCCCCCCCCOCCCCCCOOOOCOCCCCCOCCOCCCCCCCCOOOCOCCCCCCCCCOCCCCCCOOOOCOCCCCCCCCCOCCCCCCOOOOCCCCCCCCCOCCCCCCOOOOCCCCCCCCCOCCCCCCOOOOO
C18H20O10,CCCCCCCCOOOOCOCCCCCCCCOOOO
C22H22O12,CCCCCCCCCOCCCCCCOOCCCCCOCOOOOOOO
C101H98O46,CCCCCCCCCOOCCOCOCCCCOOOCOCCCCCCCCCOOCCOCOCCCCOOOCOCCCCCCCCCOOCCCOCOCCCOOOCCCOOCCCCOCOCCCCCCCCOOOCOCCCCCCCCOOOCCCOOCCOCOCCCCCCCCOOCCOCOCCCCCCCCOOO
C23H24O12,CCCCCCCCOCCCCCCCOOOCOCCCCCOCOOOOO
C20H24O8,CCCCCCCCCOOOCOCCCCCCCCCOOO
C11H14O8,CCCCCCCCOOOOCCOOO
C21H22O6,CCCCCCCCCCCOCCCCCCCCOCOOO
C20H20O8,CCCCCCCCCOOOCOCCCCCCCCCOOO
C103H86O42,CCCCCCCCCOCCOCCCCOCOOOCOCCCCCCCCCOCCOCCCCOOCOOCCOCCCCCCCCCOCCOCCCCOCOCOOCOCCCCCCCCCOCCOCCCCOOCOOCCCCCCCCCOCCOCCCCOCOCOOOCCCCCCCCCOCCOCCCCOOCOOO
C14H18O3,CCCCCCCCCCCCCOO
C83H66O35,CCCCCCCCCOCCCCCCOOCOOOCOCCCCCCCCCOCCCCCCOOOOCOCOCCCCCCOCCCOOCCCCCCOOCOCOCCCCCCOCCOCCOCCCCCCOOOCCCCCCOOCCCOCCCCCCOOOO
C10H12O4,CCCCCCCCCOOO
C96H96O38,CCCCCCCCCCCCCCCOOOOOCOCCCCCCCCCCCCCCCOOOOOCOCCCCCCOOCCCCCCCCCOOOOCOCCCCCCCCCCCCCCCOOOOOCOCCCCCCCCCCCCCCCOOOOOCOCCCCCCOCCCCCCCCCOOOOO
C182H188O61,CCCCCCCCCOOCCCOCOCCCCCCCCCOOOCOCCCCCCCCCOOCCCOCOCCCCCCCCOOCOCOCCCCCCCCCOOCCCOCOCCCCCCCCCOOCOOCOCCCCCCOCOCCCOOCCCOCOCCCCCCCCOCOCCCCCCCCCOOCCCOOCOCCCCCCCCCOCOCCCCCCCCCOOCCCOCOCCCCCCCCOCOCOCCCCCCCCCOOCCCOCOCCCCCCCCOOCCCCCCCCCOOCCCOCOCCCCCCCCOOO
C159H164O54,CCCCCCCCCOOCCCOCOCCCCCCCCCOOOCOCCCCCCCCCOOCCCOCOCCCCCCCCOOCOCOCCCCCCCCCOOCCCOCOCCCCCCCCCOOCOOCOCCCCCCOCOCCCOOCCCOCOCCCCCCCCOCOCCCCCCCCCOOCCCOCOCCCCCCCCOCOCOCCCCCCCCCOOCCCOCOCCCCCCCCOOCCCCCCCCCOOCCCOCOCCCCCCCCOOO
C116H92O46,CCCCCCCCCOCCOCCCCOOOCOCCCCCCCCCOCCOCCCCOCOOOCOCOCCCCCCCCCOCCOCCCCOCOOOCOCOCCCCCCOCCCOCCCCCCOOCOCCCCCCOCCCOOCCCCCCCOOCOCCOCCCCCCCOOOCCCCCCOCCCCCCCCCOCCCCCCOOOOOO
C50H36O22,CCCCCCCCCOCCCCCCOOOOCCOCCCCCCCOOOOCOCCCCCCCCCOCCCCCCOOOOCCOCCCCCCCOOOO
C218H190O47,CCCCCCCCCCCCCCOOCOCCCCCCCCCCCCCCOOCCOCCCCCCCCCCCCCCOOCCCCCCOCCCCCCOOCOCCCCCCCCCCCCCCCCOOCCCCCCOCCCCCCOOCOCCCCCCCCCCCCCCOOOCOCCCCCCOCCOCCCCCCOCCOCCCCCCCCCCCCCCOOCCCCCCOCCCCCCOCOCCCCCCOCCOCCCCCCCCCCCCCCOOCCCCCCOCOCCCCCCCCCCCCCCCCOOCCCCCCOCCCCCCOOCOCCCCCCCCCCCCCCOOO
C47H54O17,CCCCCCCCOOCOCOCCCCCCCCOOCOCOCOCCCCCCCOCOCOCCCCCCCOCOCOCCCCCCCO
C66H76O35,CCCCCCCCCOOCCCCCCOOCOOOOCOCCCCCCCCCOOCCCCCCOOCOOOOCCCCCCCOOOOCOCCCCCCCCOOOCCCCCCCOOOOCOCCCCCCCCOOOO
C20H22O8,CCCCCCCCCOOOCOCCCCCCCCOCOO
C19H22O8,CCCCCCCCOOOCOCCCCCCCCOOCO
C78H56O34,CCCCCCCCCOCCCCCCOOOOOCOCCCCCCOCCCOOCCCCCCOOOCOCCCCCCCCCOCCCCCCOOOOOCCCCCCCCCOCCCCCCOOOOOOCCCCCCCCCOCCOCCCCOOOO
C100H92O36,CCCCCCCCCOOCCCCCCOOOCOCCCCCCCCCOOCCCCCCOOOCOCCCCCCCCCOOCCCCCCOCOCOCOCCCCCCCCCOOCCCCCCOCOCOCOCCCCCCCCCOOCCCCCCOOOCOCCCCCCCCCOOCCCCCCOOO
