Compound_CID,Molecular_Weight,Molecular_Formula,SMILES,IUPAC_Name,Linked_PubChem_Literature_Count,Linked_PubChem_Patent_Count,Modified_Formula,Matched_Y_CID,Filtered_SMILES_X,Prefix_X,Matched_Y_SMILES_Count,Matched_Y_CIDs
70883828,268.31,C17H16O3,CC1=CC=CC=C1C(=O)CCC(=O)C2=CC=C(C=C2)O,"1-(4-hydroxyphenyl)-4-(2-methylphenyl)butane-1,4-dione",0,1,C17H16O4,16113498.0,CCCCCCCCOCCCOCCCCCCO,CCCCCCCCOCCCOCCCCCCO,1,142648610
70881561,284.4,C19H24O2,CC1=C(C=CC(=C1)O)C(C)(C)CC(C)C2=CC=C(C=C2)O,4-[4-(4-hydroxyphenyl)-2-methylpentan-2-yl]-3-methylphenol,0,3,C19H24O3,10542241.0,CCCCCCCOCCCCCCCCCCCCO,CCCCCCCOCCCCCCCCCCCCO,1,83937189
70868429,296.4,C19H20O3,CC/C(=C\C(=O)C1=C(C=C(C=C1O)C)C)/C2=CC=C(C=C2)O,"(E)-1-(2-hydroxy-4,6-dimethylphenyl)-3-(4-hydroxyphenyl)pent-2-en-1-one",0,1,C19H20O4,44603355.0,CCCCCOCCCCCCOCCCCCCCCO,CCCCCOCCCCCCOCCCCCCCCO,1,172774893
70853654,454.5,C28H22O6,C1=CC(=CC=C1[C@H]2C3C(C(C4=C2C(=CC(=C4)O)O)C5=C3C=C(C=C5O)O)C6=CC=C(C=C6)O)O,"(8R)-8,16-bis(4-hydroxyphenyl)tetracyclo[7.6.1.02,7.010,15]hexadeca-2(7),3,5,10(15),11,13-hexaene-4,6,12,14-tetrol",0,3,C28H22O7,155288.0,CCCCCCCCCCCCCCCCOOCCCCCCOOCCCCCCOO,CCCCCCCCCCCCCCCCOOCCCCCCOOCCCCCCOO,8,163051280;143780252;90895343;90737803;78381791;59502114;59502104;5279248
70851738,236.31,C14H20O3,CC(C)(CC(C)(C)C(=O)O)C1=CC=C(C=C1)O,"4-(4-hydroxyphenyl)-2,2,4-trimethylpentanoic acid",0,1,C14H20O4,10354846.0,CCCCCCCCOOCCCCCCO,CCCCCCCCOOCCCCCCO,1,132992005
70850401,270.28,C16H14O4,COC1=CC=C(C=C1)/C(=C/C(=O)C2=CC=C(C=C2)O)/O,(Z)-3-hydroxy-1-(4-hydroxyphenyl)-3-(4-methoxyphenyl)prop-2-en-1-one,0,2,C16H14O5,44257524.0,COCCCCCCCCCOCCCCCCOO,COCCCCCCCCCOCCCCCCOO,1,141730630
70843270,286.28,C16H14O5,C1=CC(=CC=C1C/C=C/C(=O)C2=C(C=C(C=C2O)O)O)O,"(E)-4-(4-hydroxyphenyl)-1-(2,4,6-trihydroxyphenyl)but-2-en-1-one",0,1,C16H14O6,4390946.0,CCCCCCCCCCOCCCCCCOOOO,CCCCCCCCCCOCCCCCCOOOO,2,118478119;22639404
70841587,256.339,C17H20O2,CCC1=C(C=CC(=C1)O)C(C)(C)C2=CC=C(C=C2)O,3-ethyl-4-[2-(4-hydroxyphenyl)propan-2-yl]phenol,0,1,C17H20O3,10445935.0,CCCCCCCCOCCCCCCCCCO,CCCCCCCCOCCCCCCCCCO,1,59558850
70823578,270.28,C16H14O4,CC1=CC(=CC2=C1C(=O)CC(O2)C3=CC=C(C=C3)O)O,"7-hydroxy-2-(4-hydroxyphenyl)-5-methyl-2,3-dihydrochromen-4-one",0,1,C16H14O5,44257524.0,CCCCCCCCOCCOCCCCCCOO,CCCCCCCCOCCOCCCCCCOO,1,143758266
70792584,272.25,C15H12O5,C1=CC(=CC=C1CC2C(=O)C3=C(C=C(C=C3O2)O)O)O,"4,6-dihydroxy-2-[(4-hydroxyphenyl)methyl]-1-benzofuran-3-one",0,3,C15H12O6,91184671.0,CCCCCCCCCOCCCCCCOOOO,CCCCCCCCCOCCCCCCOOOO,14,162889855;135305017;124351262;74819269;71438154;71369333;42607636;25200812;12313213;12311053;9943803;5461154;5281294;261164
