Compound_CID,Molecular_Weight,Molecular_Formula,SMILES,IUPAC_Name,Linked_PubChem_Literature_Count,Linked_PubChem_Patent_Count,Modified_Formula,Matched_Y_CID,Filtered_SMILES_X,Prefix_X,Matched_Y_SMILES_Count,Matched_Y_CIDs
172883457,272.4,C18H24O2,CC(C)C(=O)CCC(C)(C=C)/C=C/C1=CC=C(C=C1)O,"(E)-6-ethenyl-8-(4-hydroxyphenyl)-2,6-dimethyloct-7-en-3-one",0,0,C18H24O3,19593730.0,CCCCOCCCCCCCCCCCCCCO,CCCCOCCCCCCCCCCCCCCO,1,139729725
172794484,320.4,C22H24O2,C1C2CC3CC1C(C(C2)C3C4=CC=C(C=C4)O)C5=CC=C(C=C5)O,4-[4-(4-hydroxyphenyl)-2-adamantyl]phenol,0,1,C22H24O3,11045971.0,CCCCCCCCCCCCCCCCOCCCCCCO,CCCCCCCCCCCCCCCCOCCCCCCO,2,139597624;44287845
172770964,320.4,C22H24O2,C1CC(C2C1C3CCC2(C3)C4=CC=C(C=C4)O)C5=CC=C(C=C5)O,"4-[1-(4-hydroxyphenyl)-3-tricyclo[5.2.1.02,6]decanyl]phenol",0,2,C22H24O3,11045971.0,CCCCCCCCCCCCCCCCOCCCCCCO,CCCCCCCCCCCCCCCCOCCCCCCO,2,139597624;44287845
172682831,298.4,C20H26O2,CCCCC(CCCC1=CC=C(C=C1)O)C2=CC=C(C=C2)O,4-[4-(4-hydroxyphenyl)octyl]phenol,0,2,C20H26O3,10870747.0,CCCCCCCCCCCCCCOCCCCCCO,CCCCCCCCCCCCCCOCCCCCCO,3,164146799;141095773;139838633
160480390,304.4,C21H20O2,CC(C)C1=C(C=CC(=C1)C2=CC=CC=C2C3=CC=C(C=C3)O)O,4-[2-(4-hydroxyphenyl)phenyl]-2-propan-2-ylphenol,0,2,C21H20O3,290973.0,CCCCCCCCCCCCCCCCCCCCCOO,CCCCCCCCCCCCCCCCCCCCCOO,1,139838656
152642797,270.4,C18H22O2,CC(C)C1=C(C(=C(C=C1)C2=CC=C(C=C2)O)C(C)C)O,"3-(4-hydroxyphenyl)-2,6-di(propan-2-yl)phenol",0,2,C18H22O3,133896.0,CCCCCCCCCCCCCCCOCCCO,CCCCCCCCCCCCCCCOCCCO,4,141425816;58925410;22717008;14915932
152487123,276.3,C19H16O2,CC1=C(C=CC(=C1)C2=CC=CC=C2C3=CC=C(C=C3)O)O,4-[2-(4-hydroxyphenyl)phenyl]-2-methylphenol,0,4,C19H16O3,167947.0,CCCCCCCCCCCCCCCCCCCOO,CCCCCCCCCCCCCCCCCCCOO,3,118119023;118041031;20206060
152454984,298.4,C20H26O2,CCC(CC(C)CCC1=CC=C(C=C1)O)C2=CC=C(C=C2)O,4-[5-(4-hydroxyphenyl)-3-methylheptyl]phenol,0,1,C20H26O3,10870747.0,CCCCCCCCCCCCCCOCCCCCCO,CCCCCCCCCCCCCCOCCCCCCO,3,164146799;141095773;139838633
151667819,298.4,C20H26O2,CC(CCCC(C)C1=CC=C(C=C1)O)CC2=CC=C(C=C2)O,4-[6-(4-hydroxyphenyl)-2-methylheptyl]phenol,0,1,C20H26O3,10870747.0,CCCCCCCCCCCCCOCCCCCCCO,CCCCCCCCCCCCCOCCCCCCCO,1,137648055
150854133,270.4,C18H22O2,CC(CCC1=CC=C(C=C1)O)C(C)C2=CC=C(C=C2)O,4-[4-(4-hydroxyphenyl)-3-methylpentyl]phenol,0,1,C18H22O3,133896.0,CCCCCCCCCCOCCCCCCCCO,CCCCCCCCCCOCCCCCCCCO,2,101303480;101303440
