Compound_CID,Molecular_Weight,Molecular_Formula,SMILES,IUPAC_Name,Linked_PubChem_Literature_Count,Linked_PubChem_Patent_Count,Modified_Formula,Matched_Y_CID,Filtered_SMILES_X,Prefix_X,Matched_Y_SMILES_Count,Matched_Y_CIDs
172885205,464.4,C22H24O11,COC1=CC2=C(C(=C1)O[C@H]3[C@@H](C([C@@H]([C@H](O3)CO)O)O)O)C(=O)[C@@H]([C@H](O2)C4=CC=C(C=C4)O)O,"(2R,3R)-3-hydroxy-2-(4-hydroxyphenyl)-7-methoxy-5-[(2S,3R,5S,6R)-3,4,5-trihydroxy-6-(hydroxymethyl)oxan-2-yl]oxy-2,3-dihydrochromen-4-one",0,0,C22H24O12,,COCCCCCCOCCCCCOCOOOOCOCCOCCCCCCOO,COCCCCCCOCCCCCOCOOOOCOC,6,162876607;162876606;162876605;162876604;73829934;21721954
172885204,450.4,C22H26O10,COC1=CC(=C(C(=C1)O[C@@H]2[C@H](C([C@H]([C@@H](O2)CO)O)O)O)C(=O)CCC3=CC=C(C=C3)O)O,"1-[2-hydroxy-4-methoxy-6-[(2R,3S,5R,6S)-3,4,5-trihydroxy-6-(hydroxymethyl)oxan-2-yl]oxyphenyl]-3-(4-hydroxyphenyl)propan-1-one",0,0,C22H26O11,,COCCCCCCOCCCCCOCOOOOCOCCCCCCCCOO,COCCCCCCOCCCCCOCOOOOCO,2,72807927;11340276
172883426,420.4,C21H24O9,C1CC2=C(C=C(C=C2O[C@H]3[C@@H]([C@H]([C@@H]([C@H](O3)CO)O)O)O)O)OC1C4=CC=C(C=C4)O,"(2S,3R,4S,5S,6R)-2-[[7-hydroxy-2-(4-hydroxyphenyl)-3,4-dihydro-2H-chromen-5-yl]oxy]-6-(hydroxymethyl)oxane-3,4,5-triol",0,0,C21H24O10,,CCCCCCCCOCCCCCOCOOOOOOCCCCCCCO,CCCCCCCCOCCCCCOCOOOO,2,73802641;21576516
132331199,432.4,C21H20O10,COC1=C(C=CC(=C1)/C=C/C(=O)OC(C(=O)O)C(CC2=CC=C(C=C2)O)(C(=O)O)O)O,2-hydroxy-3-[(E)-3-(4-hydroxy-3-methoxyphenyl)prop-2-enoyl]oxy-2-[(4-hydroxyphenyl)methyl]butanedioic acid,0,0,C21H20O11,,COCCCCCCCCCOOCCOOCCCCCCCCOCOOOO,COCCCCCCCCCOOCCOOCCCC,11,171041954;171041953;167995870;78410702;3081356;78410703;3081357;102179091;100913813;6449880;6449879
172880054,432.4,C21H20O10,C1[C@@H]([C@H](C(OC1CO)OC2=C(OC3=CC(=CC(=C3C2=O)O)O)C4=CC=C(C=C4)O)O)O,"3-[(3R,4S)-3,4-dihydroxy-6-(hydroxymethyl)oxan-2-yl]oxy-5,7-dihydroxy-2-(4-hydroxyphenyl)chromen-4-one",0,0,C21H20O11,,CCCCOCCOOCCOCCCCCCCOOOCCCCCCOOO,CCCCOCCOOCCOCCCCCCCOO,2,162981615;162981614
172878534,1167.0,C55H58O28,COC1=C(C=CC(=C1)/C=C/C(=O)OC[C@@H]2[C@H]([C@@H]([C@H]([C@@H](O2)OC3=C(OC4=C(C3)C(=CC(=C4)O)O[C@H]5[C@@H]([C@H]([C@@H]([C@H](O5)COC(=O)CC(=O)O)O)O)O)C6=CC=C(C=C6)O)O[C@H]7[C@@H]([C@H]([C@@H]([C@H](O7)COC(=O)/C=C/C8=CC=C(C=C8)O)O)O)O)O)O)O,"3-[[(2R,3S,4S,5R,6S)-6-[[3-[(2S,3R,4S,5S,6R)-4,5-dihydroxy-6-[[(E)-3-(4-hydroxy-3-methoxyphenyl)prop-2-enoyl]oxymethyl]-3-[(2S,3R,4S,5S,6R)-3,4,5-trihydroxy-6-[[(E)-3-(4-hydroxyphenyl)prop-2-enoyl]oxymethyl]oxan-2-yl]oxyoxan-2-yl]oxy-7-hydroxy-2-(4-hydroxyphenyl)-4H-chromen-5-yl]oxy]-3,4,5-trihydroxyoxan-2-yl]methoxy]-3-oxopropanoic acid",0,0,C55H58O29,,COCCCCCCCCCOOCCCCCCOOCCOCCCCCCCOOCCCCCOCOCOCCOOOOOCCCCCCOOCCCCCOCOCOCCCCCCCCOOOOOOO,COCCCCCCCCCOOCCCCCCOOCCOCCCCCCCOOCCCCCOCOCOCCOOOOOCCCCCCOOCCCCCOCOCOCCCCC,1,172878536
172819239,248.27,C17H12O2,C1=CC(=CC2=C1C=CC(=C2)C3=CC=C(C=C3)O)C=O,7-(4-hydroxyphenyl)naphthalene-2-carbaldehyde,0,1,C17H12O3,,CCCCCCCCCCCCCCCCOCO,CCCCCCCCC,1,23435286
172814277,500.4,C25H24O11,C1[C@@](C([C@](CC1(C(=O)O)O)(C(=O)/C=C/C2=CC(=C(C=C2)O)O)O)O)(C(=O)/C=C/C3=CC=C(C=C3)O)O,"(3R,5R)-3-[(E)-3-(3,4-dihydroxyphenyl)prop-2-enoyl]-1,3,4,5-tetrahydroxy-5-[(E)-3-(4-hydroxyphenyl)prop-2-enoyl]cyclohexane-1-carboxylic acid",0,1,C25H24O12,,CCCCCCCOOOCOCCCCCCCCOOOOCOCCCCCCCCOO,CCCCCCCOOOCOCCCCCCCCOOOOCO,20,163071040;163071039;162902775;132988885;125183247;125183246;121232733;92953400;92953399;92543361;68326315;54610010;44306981;40498425;25768287;12358846;5380281;5316647;5316279;14446
172797527,370.4,C20H18O7,COC(=O)/C=C/C1=CC2=C(C(=C1)O)OC(C2C(=O)OC)C3=CC=C(C=C3)O,"methyl 7-hydroxy-2-(4-hydroxyphenyl)-5-[(E)-3-methoxy-3-oxoprop-1-enyl]-2,3-dihydro-1-benzofuran-3-carboxylate",0,1,C20H18O8,,COCOCCCCCCCCOOCCCOOCCCCCCCO,COCOCCCCCCCCOOCCC,9,155115247;21581528;10762716;10715157;9843149;5857314;5468717;3546654;384750
172691865,402.4,C25H22O5,CC(=C)C=CC1=C2C(=C3C(=C1O)C(=O)C(=CO3)C4=CC=C(C=C4)O)C=CC(O2)(C)C,"5-hydroxy-3-(4-hydroxyphenyl)-8,8-dimethyl-6-(3-methylbuta-1,3-dienyl)pyrano[2,3-h]chromen-4-one",0,4,C25H22O6,,CCCCCCCCCCCOCOCCOCCCCCCOCCCOCC,CCCCCCCCCCCOCOCCOCCC,1,172835066
