Compound_CID,Molecular_Weight,Molecular_Formula,SMILES,IUPAC_Name,Linked_PubChem_Literature_Count,Linked_PubChem_Patent_Count,Modified_Formula,Matched_Y_CID,Filtered_SMILES_X,Prefix_X,Matched_Y_SMILES_Count,Matched_Y_CIDs
172883457,272.4,C18H24O2,CC(C)C(=O)CCC(C)(C=C)/C=C/C1=CC=C(C=C1)O,"(E)-6-ethenyl-8-(4-hydroxyphenyl)-2,6-dimethyloct-7-en-3-one",0,0,C18H24O3,19593730.0,CCCCOCCCCCCCCCCCCCCO,CCCCOCCCCC,1,139729725
172870520,654.7,C42H38O7,C1=CC(=CC(=C1)O)CCC2=CC(=CC(=C2)OC3=C(C=CC(=C3)CCC4=CC=C(C=C4)O)O)OC5=C(C=CC(=C5)CCC6=CC=C(C=C6)O)O,2-[3-[2-hydroxy-5-[2-(4-hydroxyphenyl)ethyl]phenoxy]-5-[2-(3-hydroxyphenyl)ethyl]phenoxy]-4-[2-(4-hydroxyphenyl)ethyl]phenol,0,0,C42H38O8,172870888.0,CCCCCCOCCCCCCCCOCCCCCCCCCCCCCCOOOCCCCCCCCCCCCCCOO,CCCCCCOCCCCCCCCOCCCCCCCCCCCCCCOOOCCCCCC,1,172871138
172844446,388.5,C26H28O3,CC1=CC(=CC(=C1O)C)C2CCCCC2(C3=CC=C(C=C3)O)C4=CC=C(C=C4)O,"4-[2,2-bis(4-hydroxyphenyl)cyclohexyl]-2,6-dimethylphenol",0,3,C26H28O4,161922.0,CCCCCCCOCCCCCCCCCCCCCOCCCCCCO,CCCCCCCOCCCCCCCCCCC,1,101165746
172835468,388.5,C26H28O3,CC1=CC(=CC(=C1O)C)C2(CCCCC2C3=CC=C(C=C3)O)C4=CC=C(C=C4)O,"4-[1,2-bis(4-hydroxyphenyl)cyclohexyl]-2,6-dimethylphenol",0,2,C26H28O4,161922.0,CCCCCCCOCCCCCCCCCCCCCOCCCCCCO,CCCCCCCOCCCCCCCCCCC,1,101165746
172819939,374.5,C25H26O3,CC1=C(C=CC(=C1)C2(CCCC(C2)C3=CC=C(C=C3)O)C4=CC=C(C=C4)O)O,"4-[1,3-bis(4-hydroxyphenyl)cyclohexyl]-2-methylphenol",0,3,C25H26O4,12569300.0,CCCCCCCCCCCCCCCCCCCOCCCCCCOO,CCCCCCCCCCCCCCCCCC,3,153341865;134566965;118150840
172794484,320.4,C22H24O2,C1C2CC3CC1C(C(C2)C3C4=CC=C(C=C4)O)C5=CC=C(C=C5)O,4-[4-(4-hydroxyphenyl)-2-adamantyl]phenol,0,1,C22H24O3,11045971.0,CCCCCCCCCCCCCCCCOCCCCCCO,CCCCCCCCCCCCCC,7,152251795;168985535;156073982;139597624;117943420;91091716;44287845
172777751,262.3,C18H14O2,CC1=C(C=CC2=C1C=CC(=C2)C3=CC=C(C=C3)O)C=O,6-(4-hydroxyphenyl)-1-methylnaphthalene-2-carbaldehyde,0,1,C18H14O3,22508143.0,CCCCCCCCCCCCCCCCCOCO,CCCCCCCCCC,6,140100174;139355298;71046395;70891971;53725857;22508143
172770964,320.4,C22H24O2,C1CC(C2C1C3CCC2(C3)C4=CC=C(C=C4)O)C5=CC=C(C=C5)O,"4-[1-(4-hydroxyphenyl)-3-tricyclo[5.2.1.02,6]decanyl]phenol",0,2,C22H24O3,11045971.0,CCCCCCCCCCCCCCCCOCCCCCCO,CCCCCCCCCCCCCC,7,152251795;168985535;156073982;139597624;117943420;91091716;44287845
172755298,200.23,C13H12O2,C1C2C=CC(C1C3=CC=C(C=C3)O)C2=O,5-(4-hydroxyphenyl)bicyclo[2.2.1]hept-2-en-7-one,0,2,C13H12O3,11977435.0,CCCCCCCCCCCCOCO,CCCCC,60,172781592;152408275;172555409;160525882;139941823;139941764;139940622;139908239;130032162;124706776;117220238;101299765;101299764;101299763;101299762;101299761;101299760;101299759;101299731;101299730;101299729;101299728;101299727;101299726;101299725;101299724;101299723;101299716;101299715;101299714;101299713;101299712;101299711;101299710;101299709;101299708;101299683;101299682;101299681;101299680;101299679;101299678;101299677;101299676;101299675;100944400;75528907;70822426;66698207;59014815;58381751;58381745;56604629;56604339;19910372;18913870;17996014;15506971;15095647;11977435
172753532,386.5,C27H30O2,CC(C)C1=CC=CC=C1C2CCC(CC2)(C3=CC=C(C=C3)O)C4=CC=C(C=C4)O,4-[1-(4-hydroxyphenyl)-4-(2-propan-2-ylphenyl)cyclohexyl]phenol,0,4,C27H30O3,130386788.0,CCCCCCCCCCCCCCCCCCCCCOCCCCCCO,CCCCCCCCCCCCCCCCCCC,1,130386788
172752273,332.4,C23H24O2,CCC1=C(C=C(C=C1)C(C)(C)C2=CC=C(C=C2)O)C3=CC=C(C=C3)O,4-[2-ethyl-5-[2-(4-hydroxyphenyl)propan-2-yl]phenyl]phenol,0,2,C23H24O3,14027582.0,CCCCCCCCCCCCCCCCCOCCCCCCO,CCCCCCCCCCCCCCC,4,129088187;68961793;22164972;14027582
172682831,298.4,C20H26O2,CCCCC(CCCC1=CC=C(C=C1)O)C2=CC=C(C=C2)O,4-[4-(4-hydroxyphenyl)octyl]phenol,0,2,C20H26O3,10870747.0,CCCCCCCCCCCCCCOCCCCCCO,CCCCCCCCCCCC,15,172764444;151363435;163566933;168150476;164146799;159403009;154118185;144399599;141095773;139838633;137648055;130367952;130367890;14396469;10870747
162025109,264.3,C18H16O2,C1=CC=CC=C1.C1=CC(=CC=C1C2=CC=C(C=C2)O)O,benzene;4-(4-hydroxyphenyl)phenol,0,5,C18H16O3,20058624.0,CCCCCCCCCCCCCCCCCCOO,CCCCCCCCCC,2,117703353;68488733
160679495,350.5,C24H30O2,C1CCCCC=CC(CCCC1)(C2=CC=C(C=C2)O)C3=CC=C(C=C3)O,4-[1-(4-hydroxyphenyl)cyclododec-2-en-1-yl]phenol,0,71,C24H30O3,20256927.0,CCCCCCCCCCCCCCCCCCOCCCCCCO,CCCCCCCCCCCCCCCC,3,139833123;53924161;20256927
160480390,304.4,C21H20O2,CC(C)C1=C(C=CC(=C1)C2=CC=CC=C2C3=CC=C(C=C3)O)O,4-[2-(4-hydroxyphenyl)phenyl]-2-propan-2-ylphenol,0,2,C21H20O3,290973.0,CCCCCCCCCCCCCCCCCCCCCOO,CCCCCCCCCCCCC,3,144294303;139838656;118352699
